paper_id	catalog_title	preprint_title	publication_title	arxiv_id	arxiv_version	publication_doi	relation_status
P0049	Continuous Incident Triage for Large-Scale Online Service Systems	Continuous Incident Triage for Large-Scale Online Service Systems				10.1109/ase.2019.00042	no_publication_relation_verified
P0050	An empirical investigation of incident triage for online service systems	An Empirical Investigation of Incident Triage for Online Service Systems				10.1109/icse-seip.2019.00020	no_publication_relation_verified
P0051	Outage Prediction and Diagnosis for Cloud Service Systems	Outage Prediction and Diagnosis for Cloud Service Systems				10.1145/3308558.3313501	no_publication_relation_verified
P0052	A Survey of AIOps for Failure Management in the Era of Large Language Models	A Survey of AIOps for Failure Management in the Era of Large Language Models		2406.11213	4		no_publication_relation_verified
P0053	AI Assistants for Incident Lifecycle in a Microservice Environment: A Systematic Literature Review	AI Assistants for Incident Lifecycle in a Microservice Environment: A Systematic Literature Review		2410.04334	1		no_publication_relation_verified
P0054	AIOpsLab: A Holistic Framework to Evaluate AI Agents for Enabling Autonomous Clouds	AIOpsLab: A Holistic Framework to Evaluate AI Agents for Enabling Autonomous Clouds		2501.06706	1		no_publication_relation_verified
P0055	ITBench: Evaluating AI Agents across Diverse Real-World IT Automation Tasks	ITBench: Evaluating AI Agents across Diverse Real-World IT Automation Tasks		2502.05352	1		no_publication_relation_verified
P0056	An Empirical Study of Production Incidents in Generative AI Cloud Services	An Empirical Study of Production Incidents in Generative AI Cloud Services				10.1109/issre66568.2025.00044	no_publication_relation_verified
P0057	A Holistic View of AI-driven Network Incident Management	A Holistic View of AI-driven Network Incident Management				10.1145/3626111.3628176	no_publication_relation_verified
P0058	Building AI Agents for Autonomous Clouds: Challenges and Design Principles	Building AI Agents for Autonomous Clouds: Challenges and Design Principles		2407.12165	2		no_publication_relation_verified
P0059	D-Bot: Database Diagnosis System using Large Language Models	D-Bot: Database Diagnosis System using Large Language Models		2312.01454	2		no_publication_relation_verified
P0060	NetAssistant: Dialogue Based Network Diagnosis in Data Center Networks	{NetAssistant}: Dialogue Based Network Diagnosis in Data Center Networks					no_publication_relation_verified
P0061	FLASH: A Workflow Automation Agent for Diagnosing Recurring Incidents	FLASH: A Workflow Automation Agent for Diagnosing Recurring Incidents					no_publication_relation_verified
P0062	Incident Response Planning Using a Lightweight Large Language Model with Reduced Hallucination	Incident Response Planning Using a Lightweight Large Language Model with Reduced Hallucination				10.14722/ndss.2026.240358	no_publication_relation_verified
P0063	Knowledge-aware Alert Aggregation in Large-scale Cloud Systems: a Hybrid Approach	Knowledge-aware Alert Aggregation in Large-scale Cloud Systems: a Hybrid Approach		2403.06485	1		no_publication_relation_verified
P0064	Large Language Models Can Provide Accurate and Interpretable Incident Triage	Large Language Models Can Provide Accurate and Interpretable Incident Triage				10.1109/issre62328.2024.00056	no_publication_relation_verified
P0065	MonitorAssistant: Simplifying Cloud Service Monitoring via Large Language Models	MonitorAssistant: Simplifying Cloud Service Monitoring via Large Language Models				10.1145/3663529.3663826	no_publication_relation_verified
P0066	Large Language Models can Deliver Accurate and Interpretable Time Series Anomaly Detection	Large Language Models can Deliver Accurate and Interpretable Time Series Anomaly Detection		2405.15370	1		no_publication_relation_verified
P0067	Argos: Agentic Time-Series Anomaly Detection with Autonomous Rule Generation via Large Language Models	Argos: Agentic Time-Series Anomaly Detection with Autonomous Rule Generation via Large Language Models		2501.14170	1		no_publication_relation_verified
P0068	The Potential of One-Shot Failure Root Cause Analysis: Collaboration of the Large Language Model and Small Classifier	The Potential of One-Shot Failure Root Cause Analysis: Collaboration of the Large Language Model and Small Classifier				10.1145/3691620.3695475	no_publication_relation_verified
P0069	PACE-LM: Prompting and Augmentation for Calibrated Confidence Estimation with GPT-4 in Cloud Incident Root Cause Analysis	PACE-LM: Prompting and Augmentation for Calibrated Confidence Estimation with GPT-4 in Cloud Incident Root Cause Analysis	LM-PACE: Confidence Estimation by Large Language Models for Effective Root Causing of Cloud Incidents	2309.05833	3	10.1145/3663529.3663858	verified_primary_version_map
P0070	X-lifecycle Learning for Cloud Incident Management using LLMs	X-lifecycle Learning for Cloud Incident Management using LLMs		2404.03662	1		no_publication_relation_verified
P0071	RCAgent: Cloud Root Cause Analysis by Autonomous Agents with Tool-Augmented Large Language Models	RCAgent: Cloud Root Cause Analysis by Autonomous Agents with Tool-Augmented Large Language Models	RCAgent: Cloud Root Cause Analysis by Autonomous Agents with Tool-Augmented Large Language Models	2310.16340	3	10.1145/3627673.3680016	verified_primary_version_map
P0072	mABC: multi-Agent Blockchain-Inspired Collaboration for root cause analysis in micro-services architecture	mABC: multi-Agent Blockchain-Inspired Collaboration for root cause analysis in micro-services architecture		2404.12135	3		no_publication_relation_verified
P0073	Cloud Atlas: Efficient Fault Localization for Cloud Systems using Language Models and Causal Insight	Cloud Atlas: Efficient Fault Localization for Cloud Systems using Language Models and Causal Insight		2407.08694	1		no_publication_relation_verified
P0074	Flow-of-Action: SOP Enhanced LLM-Based Multi-Agent System for Root Cause Analysis	Flow-of-Action: SOP Enhanced LLM-Based Multi-Agent System for Root Cause Analysis		2502.08224	1		no_publication_relation_verified
P0075	OpenRCA: Can Large Language Models Locate the Root Cause of Software Failures?	OpenRCA: Can Large Language Models Locate the Root Cause of Software Failures?	OpenRCA: Can Large Language Models Locate the Root Cause of Software Failures?				verified_primary_version_map
P0076	AgentFM: Role-Aware Failure Management for Distributed Databases with LLM-Driven Multi-Agents	AgentFM: Role-Aware Failure Management for Distributed Databases with LLM-Driven Multi-Agents		2504.06614	1		no_publication_relation_verified
P0077	ThinkFL: Self-Refining Failure Localization for Microservice Systems via Reinforcement Fine-Tuning	ThinkFL: Self-Refining Failure Localization for Microservice Systems via Reinforcement Fine-Tuning		2504.18776	2		no_publication_relation_verified
P0078	eARCO: Efficient Automated Root Cause Analysis with Prompt Optimization	eARCO: Efficient Automated Root Cause Analysis with Prompt Optimization		2504.11505	1		no_publication_relation_verified
P0079	COCA: Generative Root Cause Analysis for Distributed Systems with Code Knowledge	COCA: Generative Root Cause Analysis for Distributed Systems with Code Knowledge		2503.23051	1		no_publication_relation_verified
P0080	FVDebug: An LLM-Driven Debugging Assistant for Automated Root Cause Analysis of Formal Verification Failures	FVDebug: An LLM-Driven Debugging Assistant for Automated Root Cause Analysis of Formal Verification Failures		2510.15906	1		no_publication_relation_verified
P0081	LogPilot: Intent-aware and Scalable Alert Diagnosis for Large-scale Online Service Systems	LogPilot: Intent-aware and Scalable Alert Diagnosis for Large-scale Online Service Systems				10.1109/ase63991.2025.00272	no_publication_relation_verified
P0082	Rethinking the Evaluation of Microservice RCA with a Fault Propagation-Aware Benchmark	Rethinking the Evaluation of Microservice RCA with a Fault Propagation-Aware Benchmark		2510.04711	2		no_publication_relation_verified
P0083	RCAFlow: A Workflow-Informed Hierarchical Planning Multi-Agent System for Root Cause Analysis	RCAFlow: A Workflow-Informed Hierarchical Planning Multi-Agent System for Root Cause Analysis				10.1609/aaai.v40i1.36991	no_publication_relation_verified
P0084	Towards In-Depth Root Cause Localization for Microservices with Multi-Agent Recursion-of-Thought	Towards In-Depth Root Cause Localization for Microservices with Multi-Agent Recursion-of-Thought		2605.14866	1		no_publication_relation_verified
P0085	Agentic Memory Enhanced Recursive Reasoning for Root Cause Localization in Microservices	Agentic Memory Enhanced Recursive Reasoning for Root Cause Localization in Microservices		2601.02732	1		no_publication_relation_verified
P0086	Stalled, Biased, and Confused: Uncovering Reasoning Failures in LLMs for Cloud-Based Root Cause Analysis	Stalled, Biased, and Confused: Uncovering Reasoning Failures in LLMs for Cloud-Based Root Cause Analysis		2601.22208	1		no_publication_relation_verified
P0087	Representation-Aware Root Cause Analysis with Large Language Models (Position Paper)	Representation-Aware Root Cause Analysis with Large Language Models (Position Paper)				10.1145/3777911.3801108	no_publication_relation_verified
P0088	Leveraging Multi-Agent Framework for Root Cause Analysis	Leveraging multi-agent framework for root cause analysis				10.1007/s40747-025-02096-0	no_publication_relation_verified
P0089	Anomaly Detection and Root Cause Analysis in Cloud-Native Environments Using Large Language Models and Bayesian Networks	Anomaly Detection and Root Cause Analysis in Cloud-Native Environments Using Large Language Models and Bayesian Networks					no_publication_relation_verified
P0090	TrioXpert: An Automated Incident Management Framework for Microservice System	TrioXpert: An Automated Incident Management Framework for Microservice System		2506.10043	2		no_publication_relation_verified
P0091	OpsAgent: An Evolving Multi-agent System for Incident Management in Microservices	OpsAgent: An Evolving Multi-agent System for Incident Management in Microservices		2510.24145	3		no_publication_relation_verified
P0092	Graph of States: Solving Abductive Tasks with Large Language Models	Graph of States: Solving Abductive Tasks with Large Language Models		2603.21250	2		no_publication_relation_verified
P0093	OpsMem: Dual-Memory Reasoning with Cross-Memory Resonance for Failure Diagnosis	OpsMem: Dual-Memory Reasoning with Cross-Memory Resonance for Failure Diagnosis		2607.11357	1		no_publication_relation_verified
P0094	FoundRoot: Towards Foundation Model for Root Cause Analysis via Structured Deep Thinking	FoundRoot: Towards Foundation Model for Root Cause Analysis via Structured Deep Thinking				10.1145/3744916.3787814	no_publication_relation_verified
P0095	LLexus: an AI agent system for incident management	LLexus: an AI agent system for incident management					no_publication_relation_verified
P0096	Leveraging Large Language Models for the Auto-remediation of Microservice Applications - An Experimental Study	Leveraging Large Language Models for the Auto-remediation of Microservice Applications: An Experimental Study				10.1145/3663529.3663855	no_publication_relation_verified
P0097	Retrieval Augmented Generation-Based Incident Resolution Recommendation System for IT Support	Retrieval Augmented Generation-Based Incident Resolution Recommendation System for IT Support		2409.13707	1		no_publication_relation_verified
P0098	STRATUS: A Multi-agent System for Autonomous Reliability Engineering of Modern Clouds	STRATUS: A Multi-agent System for Autonomous Reliability Engineering of Modern Clouds				10.52202/085713-1671	no_publication_relation_verified
P0099	FaultProfIT: Hierarchical Fault Profiling of Incident Tickets in Large-scale Cloud Systems	FaultProfIT: Hierarchical Fault Profiling of Incident Tickets in Large-scale Cloud Systems				10.1145/3639477.3639754	no_publication_relation_verified
P0100	FAIL: Analyzing Software Failures from the News Using LLMs	FAIL: Analyzing Software Failures from the News Using LLMs		2406.08221	2		no_publication_relation_verified
P0101	An Empirical Study of NetOps Capability of Pre-Trained Large Language Models	An Empirical Study of NetOps Capability of Pre-Trained Large Language Models		2309.05557	3		no_publication_relation_verified
P0102	OWL: A Large Language Model for IT Operations	OWL: A Large Language Model for IT Operations		2309.09298	2		no_publication_relation_verified
P0103	Gloss: Guiding Large Language Models to Answer Questions from System Logs	Gloss: Guiding Large Language Models to Answer Questions from System Logs				10.1109/saner60148.2024.00017	no_publication_relation_verified
P0104	iKnow: an Intent-Guided Chatbot for Cloud Operations with Retrieval-Augmented Generation	iKnow: an Intent-Guided Chatbot for Cloud Operations with Retrieval-Augmented Generation				10.1109/ase63991.2025.00084	no_publication_relation_verified
P0105	LLMPrism: Black-box Performance Diagnosis for Production LLM Training Platforms	LLMPrism: Black-box Performance Diagnosis for Production LLM Training Platforms				10.1109/dsn-s65789.2025.00034	no_publication_relation_verified
P0106	Log Parsing: How Far Can ChatGPT Go?	Log Parsing: How Far Can ChatGPT Go?		2306.01590	2		no_publication_relation_verified
P0107	A Large-Scale Evaluation for Log Parsing Techniques: How Far Are We?	A Large-Scale Evaluation for Log Parsing Techniques: How Far Are We?	A Large-Scale Evaluation for Log Parsing Techniques: How Far Are We?	2308.10828	2	10.1145/3650212.3652123	verified_primary_version_map
P0108	Prompting for Automatic Log Template Extraction	Prompting for Automatic Log Template Extraction	DivLog: Log Parsing with Prompt Enhanced In-Context Learning	2307.09950	3	10.1145/3597503.3639155	verified_primary_version_map
P0109	LLMParser: An Exploratory Study on Using Large Language Models for Log Parsing	LLMParser: An Exploratory Study on Using Large Language Models for Log Parsing	LLMParser: An Exploratory Study on Using Large Language Models for Log Parsing	2404.18001	1	10.1145/3597503.3639150	verified_primary_version_map
P0110	Interpretable Online Log Analysis Using Large Language Models with Prompt Strategies	Interpretable Online Log Analysis Using Large Language Models with Prompt Strategies		2308.07610	2		no_publication_relation_verified
P0111	Stronger, Cheaper and Demonstration-Free Log Parsing with LLMs	Stronger, Cheaper and Demonstration-Free Log Parsing with LLMs		2406.06156	2		no_publication_relation_verified
P0112	Lemur: Log Parsing with Entropy Sampling and Chain-of-Thought Merging	Lemur: Log Parsing with Entropy Sampling and Chain-of-Thought Merging		2402.18205	5		no_publication_relation_verified
P0113	Log Parsing using LLMs with Self-Generated In-Context Learning and Self-Correction	Log Parsing using LLMs with Self-Generated In-Context Learning and Self-Correction		2406.03376	2		no_publication_relation_verified
P0114	LibreLog: Accurate and Efficient Unsupervised Log Parsing Using Open-Source Large Language Models	LibreLog: Accurate and Efficient Unsupervised Log Parsing Using Open-Source Large Language Models	LibreLog: Accurate and Efficient Unsupervised Log Parsing Using Open-Source Large Language Models	2408.01585	3	10.1109/icse55347.2025.00103	verified_primary_version_map
P0115	LUNAR: Unsupervised LLM-based Log Parsing	LUNAR: Unsupervised LLM-based Log Parsing		2406.07174	2		no_publication_relation_verified
P0116	MicLog: Towards Accurate and Efficient LLM-based Log Parsing via Progressive Meta In-Context Learning	MicLog: Towards Accurate and Efficient LLM-based Log Parsing via Progressive Meta In-Context Learning				10.1609/aaai.v40i2.37123	no_publication_relation_verified
P0117	Log-based Anomaly Detection based on EVT Theory with feedback	Log-based Anomaly Detection based on EVT Theory with feedback		2306.05032	2		no_publication_relation_verified
P0118	LogGPT: Exploring ChatGPT for Log-Based Anomaly Detection	LogGPT: Exploring ChatGPT for Log-Based Anomaly Detection		2309.01189	1		no_publication_relation_verified
P0119	LLMeLog: An Approach for Anomaly Detection based on LLM-enriched Log Events	LLMeLog: An Approach for Anomaly Detection based on LLM-enriched Log Events				10.1109/issre62328.2024.00023	no_publication_relation_verified
P0120	RAGLog: Log Anomaly Detection using Retrieval Augmented Generation	RAGLog: Log Anomaly Detection using Retrieval Augmented Generation	RAGLog: Log Anomaly Detection using Retrieval Augmented Generation	2311.05261	1	10.1109/wfpst58552.2024.00034	verified_primary_version_map
P0121	LLM meets ML: Data-efficient Anomaly Detection on Unstable Logs	LLM meets ML: Data-efficient Anomaly Detection on Unstable Logs	LLM Meets ML: Data-efficient Anomaly Detection on Unstable Logs	2406.07467	4	10.1145/3771283	verified_primary_version_map
P0122	CodeAD: Synthesize Code of Rules for Log-based Anomaly Detection with LLMs	CodeAD: Synthesize Code of Rules for Log-based Anomaly Detection with LLMs		2510.22986	1		no_publication_relation_verified
P0123	Go Static: Contextualized Logging Statement Generation	Go Static: Contextualized Logging Statement Generation		2402.12958	1		no_publication_relation_verified
P0124	UniLog: Automatic Logging via LLM and In-Context Learning	UniLog: Automatic Logging via LLM and In-Context Learning				10.1145/3597503.3623326	no_publication_relation_verified
P0125	FastLog: An End-to-End Method to Efficiently Generate and Insert Logging Statements	FastLog: An End-to-End Method to Efficiently Generate and Insert Logging Statements		2311.02862	2		no_publication_relation_verified
P0126	ShapleyIQ: Influence Quantification by Shapley Values for Performance Debugging of Microservices	ShapleyIQ: Influence Quantification by Shapley Values for Performance Debugging of Microservices				10.1145/3623278.3624771	no_publication_relation_verified
P0127	PerfCE: Performance Debugging on Databases with Chaos Engineering-Enhanced Causality Analysis	PerfCE: Performance Debugging on Databases with Chaos Engineering-Enhanced Causality Analysis		2207.08369	2		no_publication_relation_verified
P0128	CONAN: Diagnosing Batch Failures for Cloud Systems	CONAN: Diagnosing Batch Failures for Cloud Systems				10.1109/icse-seip58684.2023.00018	no_publication_relation_verified
P0129	CMDiagnostor: An Ambiguity-Aware Root Cause Localization Approach Based on Call Metric Data	CMDiagnostor: An Ambiguity-Aware Root Cause Localization Approach Based on Call Metric Data				10.1145/3543507.3583302	no_publication_relation_verified
P0130	CausIL: Causal Graph for Instance Level Microservice Data	CausIL: Causal Graph for Instance Level Microservice Data		2303.00554	2		no_publication_relation_verified
P0131	MicroLens: A Performance Analysis Framework for Microservices Using Hidden Metrics With BPF	MicroLens: A Performance Analysis Framework for Microservices Using Hidden Metrics With BPF				10.1109/cloud55607.2022.00043	no_publication_relation_verified
P0132	RAPMiner: A Generic Anomaly Localization Mechanism for CDN System with Multi-dimensional KPIs	RAPMiner: A Generic Anomaly Localization Mechanism for CDN System with Multi-dimensional KPIs				10.1109/dsn53405.2022.00041	no_publication_relation_verified
P0133	Graph based Incident Extraction and Diagnosis in Large-Scale Online Systems	Graph based Incident Extraction and Diagnosis in Large-Scale Online Systems				10.1145/3551349.3556904	no_publication_relation_verified
P0134	Actionable and Interpretable Fault Localization for Recurring Failures in Online Service Systems	Actionable and Interpretable Fault Localization for Recurring Failures in Online Service Systems		2207.09021	3		no_publication_relation_verified
P0135	MicroDiag: Fine-grained Performance Diagnosis for Microservice Systems	MicroDiag: Fine-grained Performance Diagnosis for Microservice Systems				10.1109/cloudintelligence52565.2021.00015	no_publication_relation_verified
P0136	MicroHECL: High-Efficient Root Cause Localization in Large-Scale Microservice Systems	MicroHECL: High-Efficient Root Cause Localization in Large-Scale Microservice Systems		2103.01782	1		no_publication_relation_verified
P0137	Identifying Root-Cause Metrics for Incident Diagnosis in Online Service Systems	Identifying Root-Cause Metrics for Incident Diagnosis in Online Service Systems				10.1109/issre52982.2021.00022	no_publication_relation_verified
P0138	ImpAPTr: A Tool For Identifying The Clues To Online Service Anomalies	ImpAPTr: a tool for identifying the clues to online service anomalies				10.1145/3324884.3415301	no_publication_relation_verified
P0139	Diagnosing Root Causes of Intermittent Slow Queries in Cloud Databases	Diagnosing root causes of intermittent slow queries in cloud databases				10.14778/3389133.3389136	no_publication_relation_verified
P0140	Localizing Failure Root Causes in a Microservice through Causality Inference	Localizing Failure Root Causes in a Microservice through Causality Inference				10.1109/iwqos49365.2020.9213058	no_publication_relation_verified
P0141	MicroRCA: Root Cause Localization of Performance Issues in Microservices	MicroRCA: Root Cause Localization of Performance Issues in Microservices				10.1109/noms47738.2020.9110353	no_publication_relation_verified
P0142	Debugging Crashes using Continuous Contrast Set Mining	Debugging Crashes using Continuous Contrast Set Mining		1911.04768	1		no_publication_relation_verified
P0143	ϵ-Diagnosis: Unsupervised and Real-time Diagnosis of Small-window Long-tail Latency in Large-scale Microservice Platforms	?-Diagnosis: Unsupervised and Real-time Diagnosis of Small- window Long-tail Latency in Large-scale Microservice Platforms				10.1145/3308558.3313653	no_publication_relation_verified
P0144	Microscope: Pinpoint Performance Issues with Causal Graphs in Micro-service Environments	Microscope: Pinpoint Performance Issues with Causal Graphs in Micro-service Environments				10.1007/978-3-030-03596-9_1	no_publication_relation_verified
P0145	Orca: Differential Bug Localization in Large-Scale Services	Orca: Differential Bug Localization in {Large-Scale} Services					no_publication_relation_verified
P0146	Adtributor: Revenue Debugging in Advertising Systems	Adtributor: Revenue Debugging in Advertising Systems					no_publication_relation_verified
P0147	iDice: Problem Identification for Emerging Issues	iDice: problem identification for emerging issues				10.1145/2884781.2884795	no_publication_relation_verified
