id	depth	sections	task	observation	method	evaluation	limitation	application
P0035	fulltext_selected_sections	Abstract; §III-D; §IV-A1	Gom ticket trùng incident	Customer tickets và event/alert relationships ở Azure; ba regions.	iPACK profile event graphs rồi attentive interaction network liên kết ticket–event; summary dùng BERT embeddings.	Data trước 2022-01-01 train, sau mốc này test; số chi tiết bị ẩn theo confidentiality.	Ticket mô tả khác ngữ nghĩa vẫn có thể cùng incident; text similarity đơn lẻ không đủ dedup.	Group-by-incident và near-duplicate check phải chạy trước train/dev/test split.
P0069	fulltext_selected_sections	Abstract; §5.1.1–5.1.2	Confidence calibration cho RCA predictions	Incident hiện tại, candidate root cause và historical references.	PACE-LM kết hợp confidence-of-evaluation với root-cause scoring, tối ưu calibration trên validation.	Reliability diagrams, ECE và human evaluation; nhiều correctness labels là GPT-4 pseudo-labels có threshold chọn từ human validation.	§5.1.1 ghi tổng121308 nhưng các phần98308+2000+3000 chỉ cộng103308: giữ bất nhất nguồn, không tự sửa. Label judge không độc lập hoàn toàn.	Chấm calibration trên gold người riêng; confidence số cần kiểm thực nghiệm và báo coverage khi abstain.
P0071	fulltext_selected_sections	Abstract; §3.1–3.2; §4.2	Tool-augmented RCA agent	Flink logs, advisor history/code; outputs gồm cause, solution, evidence, responsibility.	RCAgent dùng observation snapshot key lưu nội dung đầy đủ ngoài context; tool tối giản tham số, stabilization và trajectory self-consistency.	Paper curation còn161 jobs cân bằng class; output từ advisor được LLM tóm tắt rồi SRE proofreading; telemetry chỉ trước detection time.	Gold phụ thuộc advisor coverage và curation; cohort nhỏ/cân bằng khác prevalence production.	Lưu raw observation bằng hash và trace citation; cấm gold/post-detection leakage khi tái dựng pipeline.
P0054	fulltext_selected_sections	Abstract; §3.1–3.3	Môi trường benchmark agent AIOps	Cloud services, fault injection, workload và telemetry; agent tương tác environment.	AIOpsLab orchestrate environment và agent-cloud interface; task levels detection, localization, RCA, mitigation.	Paper pool48 problems; correctness, time/steps và tokens. Agent step được định nghĩa theo environment interaction, không phải mọi LLM call.	Một số faults chỉ hỗ trợ detection/localization; platform tạo scenarios không phải bộ static logs đã tải.	Để extension khi có sandbox; MVP dùng static snapshots và đo cost rõ đơn vị.
P0055	fulltext_selected_sections	Abstract; §3.1; §4.4	Benchmark IT agents SRE/CISO/FinOps	Scenario metadata, deployment/environment và scenario_groundtruth.	Scenario specification tách domain/class/complexity; triển khai testbed mô phỏng sự cố.	Initial94 scenarios bao gồm ba domains; paper kiểm lặp nhiều lần để thấy variability.	Telemetry realtime thay đổi làm outcome không ổn định; không cộng CISO/FinOps thành RCA cases.	Ghim scenario/version và giữ groundtruth ngoài agent input; báo repeated-run variability khi chạy live environment.
P0410	fulltext_selected_sections	Abstract; PDF trang 2–3 §III Methodology, §III-C/D search rules	Online log-template parsing	Log messages dạng stream; gold log groups/templates.	Drain dùng domain regex preprocessing, phân nhánh theo token count rồi preceding tokens trong fixed-depth tree; chọn/mở mới log group.	Paper đánh giá năm datasets và case study anomaly detection; venue ICWS2017, DOI10.1109/ICWS.2017.13.	Parsing benchmark không đủ để kết luận RCA; tham số động có thể chứa thực thể/error quan trọng với retrieval.	Baseline parser nhẹ; luôn giữ raw log song song với template, kiểm entity loss.
P0107	fulltext_selected_sections	Abstract; phần động cơ metrics; §3 Dataset Construction	Đánh giá parser trên Loghub-2.0	14 datasets log lớn, annotation template và parameters.	Bổ sung benchmark lớn và phân tích rare/parameter-intensive templates; tránh metric bị majority log groups chi phối.	Paper re-evaluate15 parsers; phân biệt message-level group accuracy và template-sensitive evaluation.	Độ chính xác trung bình cao có thể che lỗi ở rare events vốn quan trọng cho diagnosis.	Chấm preservation của rare error templates, không chỉ parser accuracy toàn bộ.
P0001	fulltext_selected_sections	Abstract; Introduction mô tả thành phần và evaluation overview	LLM log parsing với cache	Raw logs và demonstrations; templates đã xử lý dùng làm cache.	LILAC dùng hierarchical candidate sampling/ICL và adaptive cache refining để giảm số lần gọi LLM, tăng tính nhất quán.	Loghub-2.0; grouping/template F1 cùng efficiency được mô tả; chưa extraction tất cả bảng/ablation.	Benchmark parsing không xác nhận retrieval gain; demonstrations/cache có thể tạo leakage nếu dùng chung test templates không kiểm soát.	Đo cache hit rate, LLM calls và downstream qrels recall ở cùng protocol.
P0108	abstract_only	Abstract; kiểm tra title/DOI trong linked HTML v3 frontmatter	Log template extraction	Offline log candidates có nhãn và log mục tiêu.	DivLog chọn candidates đa dạng; chọn năm demonstrations phù hợp rồi dùng ICL sinh template không fine-tuning.	Abstract nêu16 public datasets; split và bảng chi tiết chưa extraction.	Training-free vẫn dùng demonstrations có nhãn. HTML v3 đổi title thành DivLog: Log Parsing with Prompt Enhanced In-Context Learning; giữ cùng arXiv ID.	Giữ alias mapping; chỉ lấy demonstrations từ train, báo công annotator.
P0109	fulltext_selected_sections	Abstract; §2.1 background phân biệt ICL và few-shot tuning	Few-shot-tuned log parsing	Logs từ16 open-source systems, template labels.	LLMParser chọn few-shot tuning thay việc lặp demonstrations ở mọi inference; khảo sát Flan-T5/LLaMA/ChatGLM và sensitivity theo training/model size.	Abstract cho thấy model lớn hơn/pretraining logs khác hệ thống không luôn giúp; protocol chi tiết chưa extraction.	Không chọn parser chỉ theo parameter count; results khác model family không là isolated size ablation.	Chạy baseline nhỏ trên pilot trước khi trả chi phí fine-tuning/inference.
P0111	abstract_only	Abstract	Demonstration-free log parsing	Logs chưa gán nhãn, grouped batches.	LogBatcher clustering partitions, cache matching rồi batch log trong prompt.	16 public datasets; cần lấy setup/cost accounting đầy đủ trước so sánh số liệu.	Không có label/demonstration không loại bỏ chi phí clustering, cache và LLM.	Thử batch preprocessing như extension; đo cost mỗi log và rare-template preservation.
P0114	abstract_only	Abstract	Unsupervised parsing bằng open-source LLM	Groups log có static text tương tự, dynamic variables khác.	LibreLog kết hợp fixed-depth grouping, Jaccard diversity retrieval, self-reflection và template memory; abstract dùng Llama3-8B.	LogHub-2.0; full split/hardware chưa extraction.	Open-source không tự bảo đảm privacy nếu gửi log qua remote host; tự phản biện có thể vẫn sinh template sai.	Ghim model revision, giữ deployment boundary và ablate memory/reflection riêng.
P0115	abstract_only	Abstract	Unsupervised log parsing	Log Contrastive Units: logs khác nhau chủ yếu ở parameter parts.	LUNAR hybrid ranking dựa commonality/variability để lấy LCUs rồi prompt so sánh.	Large public log datasets; code/data URL có trong abstract, chưa audit license repo trong note.	Nhóm so sánh sai có thể biến static error token thành variable.	Đánh giá template token preservation trước khi dùng làm incident representation.
P0120	abstract_only	Abstract	Log anomaly detection	Logs từ các hệ thống/components và vector-store context.	RAGLog dùng retrieval-augmented LLM trong cấu hình QA để phát hiện anomalies.	Abstract mô tả proof-of-concept; chưa xác minh detailed datasets/split/labels.	Anomaly detection khác causal diagnosis; abstract chưa đủ để rút benchmark superiority.	Dùng related work ở giao RAG/log; không dùng kết quả này làm bằng chứng RCA.
P0121	abstract_only	Abstract	Anomaly detection trên unstable logs	Log sequences có software/environment changes; dataset variants ADFA-U, LOGEVOL-U, SynHDFS-U, SYNEVOL-U.	FlexLog ensemble ML với Mistral; thêm cache và RAG.	F1, lượng nhãn và sequence latency trong abstract; chưa extraction toàn bộ protocol.	Synthetic evolution khác drift production; cả cache và ensemble thay đổi nên không quy mọi gain cho RAG.	Holdout theo template/version; ablate RAG trên cùng base detector.
P0291	abstract_only	Abstract	Sentence embeddings và semantic similarity	Sentence pairs/STS và transfer tasks.	SBERT siamese/triplet encoder tạo vector dùng cosine; document representation có thể tính trước.	STS/transfer; abstract so chi phí pairwise BERT với bi-encoder search.	STS tốt không tự suy retrieval incident tốt; technical tokens khác distribution training.	Làm dense baseline; ghim pooling, normalization, query/document templates.
P0245	abstract_only	Abstract	Dense passage retrieval cho open-domain QA	Questions và positive/negative passages có supervision.	DPR dual-encoder học biểu diễn query/document riêng.	Passage retrieval và end-to-end QA; số benchmark trong abstract không áp dụng mặc định sang logs.	QA passage relevance khác causal evidence; dense cần kiểm domain shift.	So dense với BM25 trên cùng corpus/qrels và cùng k.
P0199	abstract_only	Abstract	Passage retrieval/reranking	Token-level query và document representations.	ColBERT late interaction: encode độc lập, giữ fine-grained similarity và precompute document vectors.	Hai passage-search datasets; efficiency và effectiveness cùng được xét.	Multi-vector index tăng storage; cần đo thực tế với tokenizer technical logs.	Chỉ mở rộng khi bi-encoder mất exact-token distinctions đã được error analysis xác nhận.
P0214	abstract_only	Abstract	Efficient late-interaction retrieval	Query/document token vectors và retrieval supervision.	ColBERTv2 kết hợp residual compression với denoised supervision.	In/out-domain retrieval và index footprint; chưa extraction setup riêng.	Compression gain của paper không tương đương RAM/latency gain trên máy dự án.	So footprint, build time và query latency cùng Recall/nDCG.
P0230	abstract_only	Abstract	Learned sparse first-stage retrieval	Query/document lexical vocabulary representations.	SPLADE dùng sparsity regularization và log-saturation term weights; dùng inverted index.	Trade-off effectiveness/efficiency khi thay regularization.	Learned expansion có thể thêm terms sai ngữ cảnh; không đồng nhất learned sparse với BM25.	Để extension lexical branch sau baseline BM25 và hybrid.
P0342	abstract_only	Abstract	Unsupervised dense retrieval	Unlabeled text để contrastive pretraining; evaluation BEIR và multilingual.	Contriever khai thác contrastive learning, có thể fine-tune sau đó.	Zero-shot, limited supervision và cross-lingual transfer; abstract dùng Recall@100.	Recall@100 không thay Recall@5/context-budget nhỏ; unsupervised pretrained không có nghĩa đã domain-adapted.	Đánh giá model như candidate pretrained trên qrels incident của dự án.
P0338	abstract_only	Abstract	Unsupervised domain adaptation retrieval	Target corpus chưa có qrels người; synthetic queries và cross-encoder scores.	GPL kết hợp query generation và pseudo labeling từ cross-encoder để train dense retriever.	Domain-specialized retrieval nDCG; pretrained methods có mức transfer khác nhau.	Pseudo labels phụ thuộc teacher và không là independent test gold.	Chỉ train trên train corpus; giữ human qrels test độc lập và no-adaptation baseline.
P0331	fulltext_selected_sections	Abstract; introduction lexical-bias discussion; §3 metrics; §4 setup	Heterogeneous zero-shot IR benchmark	18 datasets nhiều domains/tasks, relevance judgments khác dạng.	BEIR so lexical, sparse, dense, late interaction và rerankers trên protocol chung.	Dùng nDCG@10 cho binary/graded qrels; neural input truncation512 wordpieces được ghi trong setup.	Paper phát hiện lexical annotation bias và missing judgments; một retriever không thắng mọi domain.	Pool qrels từ nhiều retrievers, ghi truncation và giữ BM25 baseline.
P0325	abstract_only	Abstract	Query–passage reranking	Candidate passages cho query; relevance labels.	BERT joint query-document interaction chấm lại candidates.	MS MARCO và TREC-CAR; MRR@10 được nêu trong abstract.	Reranker không cứu relevant documents chưa vào candidate pool.	Cố định candidate pool và k; báo retrieval recall ceiling trước rerank.
P0647	abstract_only	Abstract	Multilingual/multifunction embeddings	Text từ câu ngắn tới document dài, multilingual retrieval.	M3-Embedding hỗ trợ dense/sparse/multi-vector; self-knowledge distillation gộp signal giữa chức năng.	Multilingual, cross-lingual và long-document benchmarks.	Khả năng8192 tokens không bảo đảm mọi error token được biểu diễn tốt; model card/revision phải kiểm riêng.	Một candidate hữu ích cho query tiếng Việt–runbook tiếng Anh; kiểm bằng pilot có qrels.
P0376	fulltext_selected_sections	Abstract; §2 Methods và §2.1 Models	Knowledge-intensive generation	Input query, Wikipedia passage index và generation targets.	RAG-Sequence/RAG-Token marginalize retrieved documents theo sequence hoặc token; retriever và generator train end-to-end.	Open-domain QA và generation tasks; không phải RCA benchmark.	RAG gốc khác việc prepend context vào frozen API model; external knowledge không tự bảo đảm claim đúng.	Tracing riêng retriever và generator; no-RAG vẫn nhận cùng incident observations.
P0561	fulltext_selected_sections	Abstract; introduction training overview; §3.1 Table1/Algorithm1	Adaptive retrieval và grounded generation	Query, retrieved passages và trained reflection-token targets.	Self-RAG train bốn reflection-token nhóm Retrieve/IsRel/IsSup/IsUse; critic annotations tạo offline, inference chọn passage/segment theo support và utility.	QA, reasoning, fact verification và citation generation.	Prompt tự phê bình một model bất kỳ không là tái lập Self-RAG training; reflection không thay gold.	Chỉ extension sau baseline; ghi training/checkpoint và cost khi so sánh.
P0560	abstract_only	Abstract	Robust RAG khi retrieval kém	Query, retrieved documents và optional web evidence.	CRAG retrieval evaluator chọn corrective actions; decompose/recompose lọc evidence, có web search fallback.	Bốn datasets short/long-form generation.	Web fallback làm corpus/time thay đổi; gain có thể do thêm nguồn thay vì evaluator.	Đóng băng external snapshots; kiểm irrelevant/context-noise trước thêm fallback.
P0678	abstract_only	Abstract	Routing QA theo query complexity	Query và labels complexity sinh từ outcomes/model/dataset biases.	Adaptive-RAG dùng small-LM classifier chọn no-, single- hoặc iterative-retrieval.	Open-domain QA nhiều mức complexity, accuracy và efficiency.	Complexity labels phụ thuộc base systems; route sai có thể bỏ evidence cần thiết.	Báo routing confusion, token cost, latency và fixed-retrieval baseline.
P0578	abstract_only	Abstract	Active retrieval trong long-form generation	Dự đoán câu tiếp theo và low-confidence token signal.	FLARE dùng upcoming sentence làm query, retrieve rồi regenerate khi confidence thấp.	Bốn long-form knowledge-intensive tasks.	Generated query có thể mang unsupported symptom; token confidence không là RCA calibration.	Giữ original query, giới hạn rounds và log evidence từng vòng.
P0574	abstract_only	Abstract	Context compression và selective augmentation	Retrieved documents trước generator.	RECOMP train extractive/abstractive compressors; có thể trả empty string nếu evidence không hữu ích.	Language modeling và open-domain QA; transfer giữa LMs.	Compression rate không đo preservation của negation/version/error strings.	Ablate raw context với compression cùng token budget; audit mất điều kiện áp dụng.
P0645	abstract_only	Abstract	Độ nhạy vị trí evidence trong long context	Multi-document QA và key-value retrieval inputs.	Thay vị trí thông tin relevant trong context để đo khả năng dùng context dài.	Paper thấy degradation ở middle positions trong các models khảo sát.	Không mặc định cùng mức degradation cho mọi model mới; cần kiểm version hiện dùng.	Ablation ordering và token budget; không đưa evidence thuận lợi chỉ cho một baseline.
P0634	fulltext_selected_sections	Abstract; PDF §2 Method	LLM query expansion	Query ngắn và pseudo-document được LLM sinh.	Query2doc sinh pseudo-document với bốn demonstrations; sparse branch lặp query năm lần rồi nối pseudo-doc, dense branch nối query–SEP–pseudo-doc.	Retrieval benchmarks; detailed splits/bảng chưa extraction.	Pseudo-document không phải evidence, có thể thêm thực thể/symptom không quan sát.	Giữ exact error/service tokens; lưu expanded query và đo no-expansion đối chứng.
P0740	abstract_only	Abstract	Query rewriting cho retrieval-augmented QA	Original query, web retrieved contexts và frozen reader feedback.	Rewrite-Retrieve-Read; có small rewriter train bằng reinforcement learning theo reader feedback.	Open-domain QA và multiple-choice QA.	Reader-optimized rewrite có thể overfit feedback; không dùng test answers để train.	Cố định reader/corpus và so original query; bảo vệ temporal/entity constraints.
P0481	abstract_only	Abstract	Hierarchical document retrieval	Document chunks và summaries ở nhiều tầng.	RAPTOR recursively embed, cluster và summarize tạo tree; retrieve từ nhiều mức abstraction.	Long-document/multi-step QA, gồm QuALITY.	Summary nodes có thể mất provenance/conditions; tree quan hệ ngữ nghĩa không là causal graph.	Chỉ thử khi error analysis cho thấy thiếu cross-section context; link summary tới raw spans.
P0761	fulltext_selected_sections	Abstract; §3.3 Ranking RAG Systems with Confidence Intervals	Automatic RAG evaluation	Query, passage, answer; synthetic judge-training data và human annotations.	ARES fine-tune judges; PPI dùng human validation để ước lượng judge error và confidence intervals từ labeled/unlabeled triples.	Context relevance, answer faithfulness và answer relevance; nhiều tasks KILT/SuperGLUE/AIS.	Human calibration là thành phần phương pháp, không phải optional decoration; faithfulness khác RCA correctness.	Giữ human gold set độc lập; dùng judge làm bổ trợ, công khai judge revision/prompt.
P0762	abstract_only	Abstract	Survey RAG evaluation	Các cặp system outputs và ground truth trong benchmarks.	Auepora tổ chức evaluation thống nhất, phân biệt retrieval và generation metrics.	Relevance, accuracy, faithfulness và benchmark limitations.	Taxonomy metric không cấp qrels/cause labels cho corpus incident của dự án.	Map từng output tới annotation trước chọn metric; ghi rõ denominator/unit.
P0763	abstract_only	Abstract	Survey RAG evaluation thời LLM	Evaluation frameworks/datasets và research practices.	Phân loại traditional/emerging evaluation theo performance, factuality, safety và efficiency.	Survey/meta-analysis; chưa extraction exhaustive framework tables.	Framework tên giống nhau có thể dùng model/prompt khác; cần pin evaluator thay vì báo duy nhất tên package.	Tạo evaluator registry và calibrate trên incident labels; không tuyên bố survey bao phủ tuyệt đối.
P0826	fulltext_selected_sections	Abstract; PDF §3.3 Citation quality, Figure3	Generation có citations	Questions, retrieved passages và answers kèm references.	ALCE benchmark và automatic/human evaluation cho generated answers có citation.	ALCE citation recall chấm entailment theo statement và toàn bộ cited passages; citation precision tìm citations không hỗ trợ. NLI là proxy cần human validation.	Citation có mặt không bảo đảm source hỗ trợ claim hoặc áp dụng cho incident hiện tại.	Rubric claim-level: source exists, supports claim, scope đúng, coverage đủ; giữ RCA correctness riêng.
P0905	fulltext_selected_sections	Abstract; §3.1 MultiHop-RAG Construction	Multi-hop evidence retrieval và QA	English news KB; queries, answers và supporting evidence.	English news qua mediastack; trích factual sentences, GPT-4 tạo claims/bridge entities rồi queries; UniEval kiểm alignment claim–evidence.	Hai trục embedding evidence retrieval và LLM answering với evidence.	News multi-hop evidence không là causal propagation gold cho microservices.	Thiết kế qrels nhiều tài liệu và evidence-set completeness; không chỉ chấm một hit bất kỳ.
