core_id	band	role	title	publication_type	peer_review_status	q1_sjr_2024	rank_evidence_id	relation	source_url	notes
P0069	B	llm_incident_and_aiops_method	PACE-LM: Prompting and Augmentation for Calibrated Confidence Estimation with GPT-4 in Cloud Incident Root Cause Analysis	proceedings-article	peer_reviewed	no			https://doi.org/10.1145/3663529.3663858	metadata-backed core selection; not a full-text review claim
P0071	B	llm_incident_and_aiops_method	RCAgent: Cloud Root Cause Analysis by Autonomous Agents with Tool-Augmented Large Language Models	proceedings-article	peer_reviewed	no			https://doi.org/10.1145/3627673.3680016	metadata-backed core selection; not a full-text review claim
P0083	B	llm_incident_and_aiops_method	RCAFlow: A Workflow-Informed Hierarchical Planning Multi-Agent System for Root Cause Analysis	journal-article	peer_reviewed	no			https://doi.org/10.1609/aaai.v40i1.36991	metadata-backed core selection; not a full-text review claim
G0003	B	llm_incident_and_aiops_method	Accurate and Interpretable Log-Based Fault Diagnosis Using Large Language Models	journal-article	peer_reviewed	yes	SJR2024-TSC		https://doi.org/10.1109/TSC.2025.3599494	metadata-backed core selection; not a full-text review claim
P0017	C	classic_rca_and_causal_localization	Sage: Practical & Scalable ML-Driven Performance Debugging in Microservices	proceedings-article	peer_reviewed	no			https://doi.org/10.1145/3445814.3446700	metadata-backed core selection; not a full-text review claim
P0141	C	classic_rca_and_causal_localization	MicroRCA: Root Cause Localization of Performance Issues in Microservices	proceedings-article	peer_reviewed	no			https://doi.org/10.1109/noms47738.2020.9110353	metadata-backed core selection; not a full-text review claim
P0160	C	classic_rca_and_causal_localization	MicroRank: End-to-End Latency Issue Localization with Extended Spectrum Analysis in Microservice Environments	proceedings-article	peer_reviewed	no			https://doi.org/10.1145/3442381.3449905	metadata-backed core selection; not a full-text review claim
P0185	C	classic_rca_and_causal_localization	ChangeRCA: Finding Root Causes from Software Changes in Large Online Systems	journal-article	peer_reviewed	no			https://doi.org/10.1145/3643728	metadata-backed core selection; not a full-text review claim
P0770	C	classic_rca_and_causal_localization	HeMiRCA: Fine-Grained Root Cause Analysis for Microservices with Heterogeneous Data Sources	journal-article	peer_reviewed	yes	SJR2024-TOSEM		https://doi.org/10.1145/3674726	metadata-backed core selection; not a full-text review claim
P0176	C	classic_rca_and_causal_localization	TrinityRCL: Multi-Granular and Code-Level Root Cause Localization Using Multiple Types of Telemetry Data in Microservice Systems	journal-article	peer_reviewed	yes	SJR2024-TSE		https://doi.org/10.1109/tse.2023.3241299	metadata-backed core selection; not a full-text review claim
P0139	C	classic_rca_and_causal_localization	Diagnosing Root Causes of Intermittent Slow Queries in Cloud Databases	journal-article	peer_reviewed	no			https://doi.org/10.14778/3389133.3389136	metadata-backed core selection; not a full-text review claim
P0781	C	classic_rca_and_causal_localization	Mining causality of network events in log data	journal-article	peer_reviewed	yes	SJR2024-TNSM		https://doi.org/10.1109/tnsm.2017.2778096	metadata-backed core selection; not a full-text review claim
G0001	C	classic_rca_and_causal_localization	KGroot: A knowledge graph-enhanced method for root cause analysis	journal-article	peer_reviewed	yes	SJR2024-ESWA		https://doi.org/10.1016/j.eswa.2024.124679	metadata-backed core selection; not a full-text review claim
G0002	C	classic_rca_and_causal_localization	CARE: Context Aware Root Cause Identification Using Distributed Traces and Profiling Metrics	journal-article	peer_reviewed	yes	SJR2024-TSE		https://doi.org/10.1109/TSE.2025.3645143	metadata-backed core selection; not a full-text review claim
P0410	D	log_representation_and_parsing	Drain: An Online Log Parsing Approach with Fixed Depth Tree	proceedings-article	peer_reviewed	no			https://doi.org/10.1109/icws.2017.13	metadata-backed core selection; not a full-text review claim
P0107	D	log_representation_and_parsing	A Large-Scale Evaluation for Log Parsing Techniques: How Far Are We?	proceedings-article	peer_reviewed	no			https://doi.org/10.1145/3650212.3652123	metadata-backed core selection; not a full-text review claim
P0001	D	log_representation_and_parsing	LILAC: Log Parsing using LLMs with Adaptive Parsing Cache	journal-article	peer_reviewed	no			https://doi.org/10.1145/3643733	metadata-backed core selection; not a full-text review claim
P0108	D	log_representation_and_parsing	Prompting for Automatic Log Template Extraction	proceedings-article	peer_reviewed	no			https://doi.org/10.1145/3597503.3639155	metadata-backed core selection; not a full-text review claim
P0109	D	log_representation_and_parsing	LLMParser: An Exploratory Study on Using Large Language Models for Log Parsing	proceedings-article	peer_reviewed	no			https://doi.org/10.1145/3597503.3639150	metadata-backed core selection; not a full-text review claim
P0121	D	log_representation_and_parsing	LLM meets ML: Data-efficient Anomaly Detection on Unstable Logs	journal-article	peer_reviewed	yes	SJR2024-TOSEM		https://doi.org/10.1145/3771283	metadata-backed core selection; not a full-text review claim
P0757	E	benchmark_and_evaluation_corpus	RCAEval: A Benchmark for Root Cause Analysis of Microservice Systems with Telemetry Data	proceedings-article	peer_reviewed	no			https://doi.org/10.1145/3701716.3715290	metadata-backed core selection; not a full-text review claim
P0075	E	benchmark_and_evaluation_corpus	OpenRCA: Can Large Language Models Locate the Root Cause of Software Failures?	proceedings-article	peer_reviewed	no			https://openreview.net/forum?id=M4qNIzQYpd	metadata-backed core selection; not a full-text review claim
P0758	E	benchmark_and_evaluation_corpus	OpenRCA 2.0: From Outcome Labels to Causal Process Supervision	preprint	preprint	no			https://arxiv.org/abs/2606.27154	metadata-backed core selection; not a full-text review claim
P0054	E	benchmark_and_evaluation_corpus	AIOpsLab: A Holistic Framework to Evaluate AI Agents for Enabling Autonomous Clouds	preprint	preprint	no			https://arxiv.org/abs/2501.06706	metadata-backed core selection; not a full-text review claim
P0055	E	benchmark_and_evaluation_corpus	ITBench: Evaluating AI Agents across Diverse Real-World IT Automation Tasks	preprint	preprint	no			https://arxiv.org/abs/2502.05352	metadata-backed core selection; not a full-text review claim
P0291	F	ir_and_rag_method_used	Sentence-BERT: Sentence Embeddings using Siamese BERT-Networks	proceedings-article	peer_reviewed	no			https://doi.org/10.18653/v1/d19-1410	metadata-backed core selection; not a full-text review claim
P0245	F	ir_and_rag_method_used	Dense Passage Retrieval for Open-Domain Question Answering	proceedings-article	peer_reviewed	no			https://doi.org/10.18653/v1/2020.emnlp-main.550	metadata-backed core selection; not a full-text review claim
P0342	F	ir_and_rag_method_used	Unsupervised Dense Information Retrieval with Contrastive Learning	preprint	preprint	no			https://arxiv.org/abs/2112.09118	metadata-backed core selection; not a full-text review claim
P0331	F	ir_and_rag_method_used	BEIR: A Heterogenous Benchmark for Zero-shot Evaluation of Information Retrieval Models	preprint	preprint	no			https://arxiv.org/abs/2104.08663	metadata-backed core selection; not a full-text review claim
P0325	F	ir_and_rag_method_used	Passage Re-ranking With BERT	preprint	preprint	no			https://arxiv.org/abs/1901.04085	metadata-backed core selection; not a full-text review claim
P0647	F	ir_and_rag_method_used	M3-Embedding: Multi-Linguality, Multi-Functionality, Multi-Granularity Text Embeddings Through Self-Knowledge Distillation	proceedings-article	peer_reviewed	no			https://doi.org/10.18653/v1/2024.findings-acl.137	metadata-backed core selection; not a full-text review claim
P0376	F	ir_and_rag_method_used	Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks	preprint	preprint	no			https://arxiv.org/abs/2005.11401	metadata-backed core selection; not a full-text review claim
P0645	F	ir_and_rag_method_used	Lost in the Middle: How Language Models Use Long Contexts	journal-article	peer_reviewed	yes	SJR2024-TACL		https://doi.org/10.1162/tacl_a_00638	metadata-backed core selection; not a full-text review claim
P0761	F	ir_and_rag_method_used	ARES: An Automated Evaluation Framework for Retrieval-Augmented Generation Systems	proceedings-article	peer_reviewed	no			https://doi.org/10.18653/v1/2024.naacl-long.20	metadata-backed core selection; not a full-text review claim
P0826	F	ir_and_rag_method_used	Enabling Large Language Models to Generate Text with Citations	proceedings-article	peer_reviewed	no			https://doi.org/10.18653/v1/2023.emnlp-main.398	metadata-backed core selection; not a full-text review claim
