paper_id	title	topic_code	scope	verification_status	canonical_url	arxiv_id	doi	acl_id	arxiv_id_year	authors	venue	publication_year	metadata_source_url	discovery_sources	source_rows	link_check_date	link_check_note
P0049	Continuous Incident Triage for Large-Scale Online Service Systems	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1109/ASE.2019.00042		10.1109/ase.2019.00042						https://doi.org/10.1109/ASE.2019.00042	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0049""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0050	An empirical investigation of incident triage for online service systems	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1109/ICSE-SEIP.2019.00020		10.1109/icse-seip.2019.00020						https://doi.org/10.1109/ICSE-SEIP.2019.00020	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0050""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0051	Outage Prediction and Diagnosis for Cloud Service Systems	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3308558.3313501		10.1145/3308558.3313501						https://doi.org/10.1145/3308558.3313501	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0051""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0057	A Holistic View of AI-driven Network Incident Management	LLM_AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://www.microsoft.com/en-us/research/uploads/prod/2023/09/LLM4IcMs___HotNets__23-6.pdf								https://www.microsoft.com/en-us/research/uploads/prod/2023/09/LLM4IcMs___HotNets__23-6.pdf	"[""https://github.com/Jun-jie-Huang/awesome-LLM-AIOps/blob/main/README.md""]"	"[""R0057""]"	2026-09-12	Primary page blocked/unreadable through web tool; does not establish broken URL
P0060	NetAssistant: Dialogue Based Network Diagnosis in Data Center Networks	LLM_AIOPS_RCA	direct_AIOps_log_observability	pdf_readable_title_pending	https://www.usenix.org/system/files/nsdi24-wang-haopei.pdf								https://www.usenix.org/system/files/nsdi24-wang-haopei.pdf	"[""https://github.com/Jun-jie-Huang/awesome-LLM-AIOps/blob/main/README.md""]"	"[""R0060""]"	2026-09-12	PDF readable; title pending comparison
P0061	FLASH: A Workflow Automation Agent for Diagnosing Recurring Incidents	LLM_AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://www.microsoft.com/en-us/research/uploads/prod/2024/10/FLASH_Paper.pdf								https://www.microsoft.com/en-us/research/uploads/prod/2024/10/FLASH_Paper.pdf	"[""https://github.com/Jun-jie-Huang/awesome-LLM-AIOps/blob/main/README.md""]"	"[""R0061""]"	2026-09-12	Primary page blocked/unreadable through web tool; does not establish broken URL
P0064	Large Language Models Can Provide Accurate and Interpretable Incident Triage	LLM_AIOPS_RCA	direct_AIOps_log_observability	pdf_readable_title_pending	https://www.microsoft.com/en-us/research/uploads/prod/2024/08/ISSRE24_LLM4triage.pdf								https://www.microsoft.com/en-us/research/uploads/prod/2024/08/ISSRE24_LLM4triage.pdf	"[""https://github.com/Jun-jie-Huang/awesome-LLM-AIOps/blob/main/README.md""]"	"[""R0064""]"	2026-09-12	PDF readable; title pending comparison
P0068	The Potential of One-Shot Failure Root Cause Analysis: Collaboration of the Large Language Model and Small Classifier	LLM_AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3691620.3695475		10.1145/3691620.3695475						https://doi.org/10.1145/3691620.3695475	"[""https://github.com/Jun-jie-Huang/awesome-LLM-AIOps/blob/main/README.md""]"	"[""R0068""]"	2026-09-12	Primary page blocked/unreadable through web tool; does not establish broken URL
P0075	OpenRCA: Can Large Language Models Locate the Root Cause of Software Failures?	LLM_AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://openreview.net/forum?id=M4qNIzQYpd								https://openreview.net/forum?id=M4qNIzQYpd	"[""https://github.com/Jun-jie-Huang/awesome-LLM-AIOps/blob/main/README.md"", ""primary_abstract_and_project_pages""]"	"[""R0075"", ""R0760""]"	2026-09-12	Primary page blocked/unreadable through web tool; does not establish broken URL
P0081	LogPilot: Intent-aware and Scalable Alert Diagnosis for Large-scale Online Service Systems	LLM_AIOPS_RCA	direct_AIOps_log_observability	pdf_readable_title_pending	https://www.zhihan-jiang.com/files/ASE25/LogPilot.pdf								https://www.zhihan-jiang.com/files/ASE25/LogPilot.pdf	"[""https://github.com/Jun-jie-Huang/awesome-LLM-AIOps/blob/main/README.md""]"	"[""R0081""]"	2026-09-12	PDF readable; title pending comparison
P0087	Representation-Aware Root Cause Analysis with Large Language Models (Position Paper)	LLM_AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3777911.3801108		10.1145/3777911.3801108						https://doi.org/10.1145/3777911.3801108	"[""https://github.com/Jun-jie-Huang/awesome-LLM-AIOps/blob/main/README.md""]"	"[""R0087""]"	2026-09-12	Primary page blocked/unreadable through web tool; does not establish broken URL
P0088	Leveraging Multi-Agent Framework for Root Cause Analysis	LLM_AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1007/s40747-025-02096-0		10.1007/s40747-025-02096-0						https://doi.org/10.1007/s40747-025-02096-0	"[""https://github.com/Jun-jie-Huang/awesome-LLM-AIOps/blob/main/README.md""]"	"[""R0088""]"	2026-09-12	Primary page blocked/unreadable through web tool; does not establish broken URL
P0089	Anomaly Detection and Root Cause Analysis in Cloud-Native Environments Using Large Language Models and Bayesian Networks	LLM_AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://ieeexplore.ieee.org/abstract/document/10979844								https://ieeexplore.ieee.org/abstract/document/10979844	"[""https://github.com/Jun-jie-Huang/awesome-LLM-AIOps/blob/main/README.md""]"	"[""R0089""]"	2026-09-12	Primary page blocked/unreadable through web tool; does not establish broken URL
P0093	OpsMem: Dual-Memory Reasoning with Cross-Memory Resonance for Failure Diagnosis	LLM_AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://arxiv.org/abs/2607.11357	2607.11357			2026				https://arxiv.org/abs/2607.11357	"[""https://github.com/Jun-jie-Huang/awesome-LLM-AIOps/blob/main/README.md""]"	"[""R0093""]"	2026-09-12	web tool internal fetch error; not proof of a dead link
P0096	Leveraging Large Language Models for the Auto-remediation of Microservice Applications - An Experimental Study	LLM_AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3663529.3663855		10.1145/3663529.3663855						https://doi.org/10.1145/3663529.3663855	"[""https://github.com/Jun-jie-Huang/awesome-LLM-AIOps/blob/main/README.md""]"	"[""R0096""]"	2026-09-12	Primary page blocked/unreadable through web tool; does not establish broken URL
P0098	STRATUS: A Multi-agent System for Autonomous Reliability Engineering of Modern Clouds	LLM_AIOPS_RCA	direct_AIOps_log_observability	pdf_readable_title_pending	https://yinfangchen.github.io/assets/pdf/stratus_paper.pdf								https://yinfangchen.github.io/assets/pdf/stratus_paper.pdf	"[""https://github.com/Jun-jie-Huang/awesome-LLM-AIOps/blob/main/README.md""]"	"[""R0098""]"	2026-09-12	PDF readable; title pending comparison
P0099	FaultProfIT: Hierarchical Fault Profiling of Incident Tickets in Large-scale Cloud Systems	LLM_AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3639477.3639754		10.1145/3639477.3639754						https://doi.org/10.1145/3639477.3639754	"[""https://github.com/Jun-jie-Huang/awesome-LLM-AIOps/blob/main/README.md""]"	"[""R0099""]"	2026-09-12	Primary page blocked/unreadable through web tool; does not establish broken URL
P0103	Gloss: Guiding Large Language Models to Answer Questions from System Logs	LLM_AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://ieeexplore.ieee.org/abstract/document/10589781								https://ieeexplore.ieee.org/abstract/document/10589781	"[""https://github.com/Jun-jie-Huang/awesome-LLM-AIOps/blob/main/README.md""]"	"[""R0103""]"	2026-09-12	Primary page blocked/unreadable through web tool; does not establish broken URL
P0104	iKnow: an Intent-Guided Chatbot for Cloud Operations with Retrieval-Augmented Generation	LLM_AIOPS_RCA	direct_AIOps_log_observability	pdf_readable_title_pending	https://jun-jie-huang.github.io/assets/papers/ase25_iknow.pdf								https://jun-jie-huang.github.io/assets/papers/ase25_iknow.pdf	"[""https://github.com/Jun-jie-Huang/awesome-LLM-AIOps/blob/main/README.md""]"	"[""R0104""]"	2026-09-12	PDF readable; title pending comparison
P0105	LLMPrism: Black-box Performance Diagnosis for Production LLM Training Platforms	LLM_AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://www.zhihan-jiang.com/files/DSN25/LLMPrism.pdf								https://www.zhihan-jiang.com/files/DSN25/LLMPrism.pdf	"[""https://github.com/Jun-jie-Huang/awesome-LLM-AIOps/blob/main/README.md""]"	"[""R0105""]"	2026-09-12	Primary page blocked/unreadable through web tool; does not establish broken URL
P0119	LLMeLog: An Approach for Anomaly Detection based on LLM-enriched Log Events	LOG_NLP	direct_AIOps_log_observability	blocked_or_unreadable	https://ieeexplore.ieee.org/abstract/document/10771398								https://ieeexplore.ieee.org/abstract/document/10771398	"[""https://github.com/Jun-jie-Huang/awesome-LLM-AIOps/blob/main/README.md""]"	"[""R0119""]"	2026-09-12	Primary page blocked/unreadable through web tool; does not establish broken URL
P0124	UniLog: Automatic Logging via LLM and In-Context Learning	LOG_NLP	direct_AIOps_log_observability	blocked_or_unreadable	https://www.computer.org/csdl/proceedings-article/icse/2024/021700a129/1RLIWpCelqg								https://www.computer.org/csdl/proceedings-article/icse/2024/021700a129/1RLIWpCelqg	"[""https://github.com/Jun-jie-Huang/awesome-LLM-AIOps/blob/main/README.md""]"	"[""R0124""]"	2026-09-12	Primary page blocked/unreadable through web tool; does not establish broken URL
P0126	ShapleyIQ: Influence Quantification by Shapley Values for Performance Debugging of Microservices	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3623278.3624771		10.1145/3623278.3624771						https://doi.org/10.1145/3623278.3624771	"[""https://github.com/IntelligentDDS/awesome-papers/blob/main/Root_cause_analysis/README.md""]"	"[""R0126""]"	2026-09-12	Primary page blocked/unreadable through web tool; does not establish broken URL
P0128	CONAN: Diagnosing Batch Failures for Cloud Systems	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://ieeexplore.ieee.org/document/10172587								https://ieeexplore.ieee.org/document/10172587	"[""https://github.com/IntelligentDDS/awesome-papers/blob/main/Root_cause_analysis/README.md""]"	"[""R0128""]"	2026-09-12	Primary page blocked/unreadable through web tool; does not establish broken URL
P0129	CMDiagnostor: An Ambiguity-Aware Root Cause Localization Approach Based on Call Metric Data	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://netman.aiops.org/wp-content/uploads/2023/02/CMDiagnostor_www_2023.pdf								https://netman.aiops.org/wp-content/uploads/2023/02/CMDiagnostor_www_2023.pdf	"[""https://github.com/IntelligentDDS/awesome-papers/blob/main/Root_cause_analysis/README.md""]"	"[""R0129""]"	2026-09-12	Primary page blocked/unreadable through web tool; does not establish broken URL
P0131	MicroLens: A Performance Analysis Framework for Microservices Using Hidden Metrics With BPF	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://ieeexplore.ieee.org/document/9860695								https://ieeexplore.ieee.org/document/9860695	"[""https://github.com/IntelligentDDS/awesome-papers/blob/main/Root_cause_analysis/README.md""]"	"[""R0131""]"	2026-09-12	Primary page blocked/unreadable through web tool; does not establish broken URL
P0132	RAPMiner: A Generic Anomaly Localization Mechanism for CDN System with Multi-dimensional KPIs	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://ieeexplore.ieee.org/document/9833589/								https://ieeexplore.ieee.org/document/9833589/	"[""https://github.com/IntelligentDDS/awesome-papers/blob/main/Root_cause_analysis/README.md""]"	"[""R0132""]"	2026-09-12	Primary page blocked/unreadable through web tool; does not establish broken URL
P0133	Graph based Incident Extraction and Diagnosis in Large-Scale Online Systems	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://yuxiaoba.github.io/publication/gied22/gied22.pdf								https://yuxiaoba.github.io/publication/gied22/gied22.pdf	"[""https://github.com/IntelligentDDS/awesome-papers/blob/main/Root_cause_analysis/README.md""]"	"[""R0133""]"	2026-09-12	Primary page blocked/unreadable through web tool; does not establish broken URL
P0135	MicroDiag: Fine-grained Performance Diagnosis for Microservice Systems	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://hal.inria.fr/hal-03155797/document								https://hal.inria.fr/hal-03155797/document	"[""https://github.com/IntelligentDDS/awesome-papers/blob/main/Root_cause_analysis/README.md""]"	"[""R0135""]"	2026-09-12	Primary page blocked/unreadable through web tool; does not establish broken URL
P0138	ImpAPTr: A Tool For Identifying The Clues To Online Service Anomalies	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3324884.3415301		10.1145/3324884.3415301						https://doi.org/10.1145/3324884.3415301	"[""https://github.com/IntelligentDDS/awesome-papers/blob/main/Root_cause_analysis/README.md""]"	"[""R0138""]"	2026-09-12	Primary page blocked/unreadable through web tool; does not establish broken URL
P0139	Diagnosing Root Causes of Intermittent Slow Queries in Cloud Databases	AIOPS_RCA	direct_AIOps_log_observability	pdf_readable_title_pending	https://www.vldb.org/pvldb/vol13/p1176-ma.pdf								https://www.vldb.org/pvldb/vol13/p1176-ma.pdf	"[""https://github.com/IntelligentDDS/awesome-papers/blob/main/Root_cause_analysis/README.md""]"	"[""R0139""]"	2026-09-12	PDF readable; title pending comparison
P0140	Localizing Failure Root Causes in a Microservice through Causality Inference	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://ieeexplore.ieee.org/document/9213058								https://ieeexplore.ieee.org/document/9213058	"[""https://github.com/IntelligentDDS/awesome-papers/blob/main/Root_cause_analysis/README.md""]"	"[""R0140""]"	2026-09-12	Primary page blocked/unreadable through web tool; does not establish broken URL
P0141	MicroRCA: Root Cause Localization of Performance Issues in Microservices	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://ieeexplore.ieee.org/document/9110353								https://ieeexplore.ieee.org/document/9110353	"[""https://github.com/IntelligentDDS/awesome-papers/blob/main/Root_cause_analysis/README.md""]"	"[""R0141""]"	2026-09-12	Primary page blocked/unreadable through web tool; does not establish broken URL
P0146	Adtributor: Revenue Debugging in Advertising Systems	AIOPS_RCA	direct_AIOps_log_observability	pdf_readable_title_pending	https://www.usenix.org/system/files/conference/nsdi14/nsdi14-paper-bhagwan.pdf								https://www.usenix.org/system/files/conference/nsdi14/nsdi14-paper-bhagwan.pdf	"[""https://github.com/IntelligentDDS/awesome-papers/blob/main/Root_cause_analysis/README.md""]"	"[""R0146""]"	2026-09-12	PDF readable; title pending comparison
P0147	iDice: Problem Identification for Emerging Issues	AIOPS_RCA	direct_AIOps_log_observability	pdf_readable_title_pending	https://hongyujohn.github.io/iDice.pdf								https://hongyujohn.github.io/iDice.pdf	"[""https://github.com/IntelligentDDS/awesome-papers/blob/main/Root_cause_analysis/README.md""]"	"[""R0147""]"	2026-09-12	PDF readable; title pending comparison
P0148	Faster, Deeper, Easier: Crowdsourcing Diagnosis of Microservice Kernel Failure from User Space	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3460319.3464805		10.1145/3460319.3464805						https://doi.org/10.1145/3460319.3464805	"[""https://github.com/IntelligentDDS/awesome-papers/blob/main/Root_cause_analysis/README.md""]"	"[""R0148""]"	2026-09-12	Primary page blocked/unreadable through web tool; does not establish broken URL
P0149	DeCaf: Diagnosing and Triaging Performance Issues in Large-Scale Cloud Services	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3377813.3381353		10.1145/3377813.3381353						https://doi.org/10.1145/3377813.3381353	"[""https://github.com/IntelligentDDS/awesome-papers/blob/main/Root_cause_analysis/README.md""]"	"[""R0149""]"	2026-09-12	Primary page blocked/unreadable through web tool; does not establish broken URL
P0150	Mining Historical Test Logs to Predict Bugs and Localize Faults in the Test Logs	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1109/ICSE.2019.00031		10.1109/icse.2019.00031						https://doi.org/10.1109/ICSE.2019.00031	"[""https://github.com/IntelligentDDS/awesome-papers/blob/main/Root_cause_analysis/README.md""]"	"[""R0150""]"	2026-09-12	Primary page blocked/unreadable through web tool; does not establish broken URL
P0151	Spectrum-Based Log Diagnosis	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3382494.3410684		10.1145/3382494.3410684						https://doi.org/10.1145/3382494.3410684	"[""https://github.com/IntelligentDDS/awesome-papers/blob/main/Root_cause_analysis/README.md""]"	"[""R0151""]"	2026-09-12	Primary page blocked/unreadable through web tool; does not establish broken URL
