paper_id	source_row	original_title	observed_primary_title	evidence_url	status	note
P0319	R0319	Bi-Phase Enhanced IVFPQ for Time-Efficient Ad-hoc Retrieval	Hybrid Inverted Index Is a Robust Accelerator for Dense Retrieval	https://arxiv.org/abs/2210.05521	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0331	R0331	BEIR: A Heterogeneous Benchmark for Zero-shot Evaluation of Information Retrieval Models	BEIR: A Heterogenous Benchmark for Zero-shot Evaluation of Information Retrieval Models	https://arxiv.org/abs/2104.08663	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0342	R0342	Towards Unsupervised Dense Information Retrieval with Contrastive Learning	Unsupervised Dense Information Retrieval with Contrastive Learning	https://arxiv.org/abs/2112.09118	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0357	R0357	Generative Retrieval for Long Sequences	Generative Multi-hop Retrieval	https://arxiv.org/abs/2204.13596	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0510	N0013	Simple is Effective: The Roles of Graphs and LLMs in Knowledge-Graph-Based RAG	Simple Is Effective: The Roles of Graphs and Large Language Models in Knowledge-Graph-Based Retrieval-Augmented Generation	https://arxiv.org/abs/2410.20724	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0513	N0026	Reasoning on Graphs: Faithful and Interpretable LLM Reasoning	Reasoning on Graphs: Faithful and Interpretable Large Language Model Reasoning	https://arxiv.org/abs/2310.01061	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0539	R0540	MuseGraph: Graph-oriented Instruction Tuning of Large Language Models for Generic Graph Mining	Graph-oriented Instruction Tuning of Large Language Models for Generic Graph Mining	https://arxiv.org/abs/2403.04780	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0552	R0553	Explore then Determine: A GNN-LLM Synergy Framework for Reasoning over Knowledge Graph	Dual Reasoning: A GNN-LLM Collaborative Framework for Knowledge Graph Question Answering	https://arxiv.org/abs/2406.01145	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0570	R0571	Check Your Facts and Try Again: Improving Large Language Models	Check Your Facts and Try Again: Improving Large Language Models with External Knowledge and Automated Feedback	https://arxiv.org/abs/2302.12813	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0582	R0583	KAUCUS: Knowledge Augmented User Simulators for Training Language Model Assistants	KAUCUS - Knowledgeable User Simulators for Training Large Language Models	https://aclanthology.org/2024.scichat-1.5/	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0587	R0588	MemPrompt: Memory-assisted Prompt Editing with User Feedback	Memory-assisted prompt editing to improve GPT-3 after deployment	https://arxiv.org/abs/2201.06009	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0615	R0616	Combining Transfer Learning with In-Context Learning using Blackbox LLMs for Zero-Shot Knowledge Base Question Answering	Few-shot Transfer Learning for Knowledge Base Question Answering: Fusing Supervised Models with In-Context Learning	https://arxiv.org/abs/2311.08894	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0643	R0644	ActiveRAG: Revealing the Treasures of Knowledge via Active Learning	ThinkNote: Enhancing Knowledge Integration and Utilization of Large Language Models via Constructivist Cognition Modeling	https://arxiv.org/abs/2402.13547	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0644	R0646	In Search of Needles in a 10M Haystack: Recurrent Memory Finds What LLMs Miss	In Search of Needles in a 11M Haystack: Recurrent Memory Finds What LLMs Miss	https://arxiv.org/abs/2402.10790	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0646	R0648	C-Pack: Packaged Resources To Advance General Chinese Embedding	C-Pack: Packed Resources For General Chinese Embeddings	https://arxiv.org/abs/2309.07597	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0647	R0649	BGE M3-Embedding: Multi-Lingual, Multi-Functionality, Multi-Granularity Text Embeddings Through Self-Knowledge Distillation	M3-Embedding: Multi-Linguality, Multi-Functionality, Multi-Granularity Text Embeddings Through Self-Knowledge Distillation	https://arxiv.org/abs/2402.03216	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0649	R0651	Retrieve Anything To Augment Large Language Models	A Multi-Task Embedder For Retrieval Augmented LLMs	https://arxiv.org/abs/2310.07554	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0663	R0665	Generator-Retriever-Generator: A Novel Approach to Open-Domain Question Answering	Generator-Retriever-Generator Approach for Open-Domain Question Answering	https://arxiv.org/abs/2307.11278	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0677	R0679	Retrieve only when it needs: Adaptive retrieval augmentation for hallucination mitigation in large language models	Rowen: Adaptive Retrieval-Augmented Generation for Hallucination Mitigation in LLMs	https://arxiv.org/abs/2402.10612	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0693	R0695	Citation-Enhanced Generation for LLM-based Chatbot	Citation-Enhanced Generation for LLM-based Chatbots	https://arxiv.org/abs/2402.16063	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0742	R0744	Knowledge Refinement via Interaction Between Search Engines and Large Language Models	Synergistic Interplay between Search and Large Language Models for Information Retrieval	https://arxiv.org/abs/2305.07402	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0746	R0748	AugTriever: Unsupervised Dense Retrieval by Scalable Data Augmentation	AugTriever: Unsupervised Dense Retrieval and Domain Adaptation by Scalable Data Augmentation	https://arxiv.org/abs/2212.08841	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0792	R0797	PaRaDe: Passage Ranking using Demonstrations with Large Language Models	PaRaDe: Passage Ranking using Demonstrations with LLMs	https://aclanthology.org/2023.findings-emnlp.950/	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0794	R0799	Is ChatGPT Good at Search? Investigating Large Language Models as Re-Ranking Agent	Is ChatGPT Good at Search? Investigating Large Language Models as Re-Ranking Agents	https://aclanthology.org/2023.emnlp-main.923/	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0800	R0805	Generating Diverse Criteria On-the-Fly to Improve Point-wise LLM Rankers	MCRanker: Generating Diverse Criteria On-the-Fly to Improve Point-wise LLM Rankers	https://arxiv.org/abs/2404.11960	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0812	R0817	Generating Synthetic Documents for Cross-Encoder Re-Rankers	Generating Synthetic Documents for Cross-Encoder Re-Rankers: A Comparative Study of ChatGPT and Human Experts	https://arxiv.org/abs/2305.02320	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0835	R0840	Exploring the Integration Strategies of Retriever and Large Language Models	Modeling Uncertainty and Using Post-fusion as Fallback Improves Retrieval Augmented Generation with LLMs	https://arxiv.org/abs/2308.12574	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0870	N0018	Subgraph Retrieval Enhanced Model for Multi-hop KBQA	Subgraph Retrieval Enhanced Model for Multi-hop Knowledge Base Question Answering	https://arxiv.org/abs/2202.13296	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0885	N0036	Don't Retrieve, Navigate: Distilling Enterprise Knowledge into Navigable Agent Skills for QA and RAG	Corpus2Skill: Distilling Enterprise Knowledge into Navigable Agent Skills for QA and RAG	https://arxiv.org/abs/2604.14572	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0888	N0039	TruthfulRAG: Resolving Factual-level Conflicts in Retrieval-Augmented Generation	TruthfulRAG: Resolving Factual-level Conflicts in Retrieval-Augmented Generation with Knowledge Graphs	https://arxiv.org/abs/2511.10375	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0895	N0046	Disco-RAG: Discourse-Aware Retrieval-Augmented Generation for Long-Form Question Answering	Disco-RAG: Discourse-Aware Retrieval-Augmented Generation	https://arxiv.org/abs/2601.04377	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0896	N0047	EviOmni: Learning to Extract Rational Evidence via Reinforcement Learning for Retrieval-Augmented Generation	Learning to Extract Rational Evidence via Reinforcement Learning for Retrieval-Augmented Generation	https://arxiv.org/abs/2507.15586	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0897	N0048	TreePS-RAG: Tree-based Process Supervision for Retrieval-Augmented Generation	TreePS-RAG: Tree-based Process Supervision for Reinforcement Learning in Agentic RAG	https://arxiv.org/abs/2601.06922	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0898	N0049	RARE: Retrieval-Augmented Reasoning Enhancement for Large Language Models	RARE: Retrieval-Augmented Reasoning Modeling	https://arxiv.org/abs/2503.23513	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0899	N0050	AlignRAG: Leveraging Critique Learning for Evidence-Sensitive Retrieval-Augmented Reasoning	Retrieval is Not Enough: Enhancing RAG Reasoning through Test-Time Critique and Optimization	https://arxiv.org/abs/2504.14858	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0907	N0059	SmartSearch: Enhancing Dense Retrieval with Dynamic LLM-Guided Iterative Search	SmartSearch: Process Reward-Guided Query Refinement for Search Agents	https://arxiv.org/abs/2601.04888	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0908	N0060	D2Plan: A Dual-Agent Framework for Dynamic Global Planning in Web Search	D²Plan: Dual-Agent Dynamic Global Planning for Complex Retrieval-Augmented Reasoning	https://arxiv.org/abs/2601.08282	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0909	N0061	HiPRAG: A Hybrid Inference Framework for Retrieval-Augmented Generation	HiPRAG: Hierarchical Process Rewards for Efficient Agentic Retrieval Augmented Generation	https://arxiv.org/abs/2510.07794	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0918	N0070	Agentic Reasoning: Reasoning LLMs with Tools for the Deep Research	Agentic Reasoning: A Streamlined Framework for Enhancing LLM Reasoning with Agentic Tools	https://arxiv.org/abs/2502.04644	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0925	N0078	Talk to Right Specialists: Routing and Planning in Multi-agent System for Question Answering	Talk to Right Specialists: Iterative Routing in Multi-agent Systems for Question Answering	https://arxiv.org/abs/2501.07813	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0931	N0084	FRAMES: Factuality, Retrieval, And reasoning MEasurement Set	Fact, Fetch, and Reason: A Unified Evaluation of Retrieval-Augmented Generation	https://arxiv.org/abs/2409.12941	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0933	N0086	Omanic: Towards Step-wise Evaluation of Multi-hop Retrieval Augmented Generation	Omanic: Towards Step-wise Evaluation of Multi-hop Reasoning in Large Language Models	https://arxiv.org/abs/2603.16654	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0934	N0087	AgenticRAGTracer: A Trajectory-Level Benchmark for Agentic Retrieval-Augmented Generation	AgenticRAGTracer: A Hop-Aware Benchmark for Diagnosing Multi-Step Retrieval Reasoning in Agentic RAG	https://arxiv.org/abs/2602.19127	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0935	N0088	WildGraphBench: A Benchmark for Graph Retrieval-Augmented Generation on Real-World Documents	WildGraphBench: Benchmarking GraphRAG with Wild-Source Corpora	https://arxiv.org/abs/2602.02053	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0936	N0089	SPARTA: A Benchmark for Structure-Aware Retrieval-Augmented Generation	SPARTA: Scalable and Principled Benchmark of Tree-Structured Multi-hop QA over Text and Tables	https://arxiv.org/abs/2602.23286	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0937	N0090	EnterpriseRAG-Bench: A Benchmark for Enterprise Retrieval-Augmented Generation	EnterpriseRAG-Bench: A RAG Benchmark for Company Internal Knowledge	https://arxiv.org/abs/2605.05253	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0938	N0091	LIT-RAGBench: A Benchmark for Retrieval-Augmented Generation	LIT-RAGBench: Benchmarking Generator Capabilities of Large Language Models in Retrieval-Augmented Generation	https://arxiv.org/abs/2603.06198	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0947	N0100	R3: Optimizing Retrieval for RAG via Reinforcement Learning	Optimizing Retrieval for RAG via Reinforcement Learning	https://arxiv.org/abs/2510.24652	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0949	N0102	RL-QR: Generalized Reinforcement Learning for Retriever-Specific Query Rewriter with Unstructured Real-World Documents	Annotation-Free Reinforcement Learning Query Rewriting via Verifiable Search Reward	https://arxiv.org/abs/2507.23242	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0963	N0116	Benchmarking Open-Source Large Language Models for Log Level Suggestion	Studying and Benchmarking Large Language Models For Log Level Suggestion	https://arxiv.org/abs/2410.08499	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0972	N0126	LogEval: A Comprehensive Benchmark Suite for LLMs in Log Analysis	LogEval: A Comprehensive Benchmark Suite for Large Language Models In Log Analysis	https://arxiv.org/abs/2407.01896	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0987	N0141	AnomalyExplainerBot: Explainable AI for LLM-based anomaly detection using BERTViz & Captum	AnomalyExplainer Explainable AI for LLM-based anomaly detection using BERTViz and Captum	https://arxiv.org/abs/2509.00069	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0990	N0144	LogReasoner: Empowering LLMs with Expert-like Coarse-to-Fine Reasoning for Log Analysis Tasks	LogReasoner: Empowering LLMs with Expert-like Coarse-to-Fine Reasoning for Automated Log Analysis	https://arxiv.org/abs/2509.20798	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0991	N0145	CrashEventLLM: Predicting System Crashes with Large Language Model	CrashEventLLM: Predicting System Crashes with Large Language Models	https://arxiv.org/abs/2407.15716	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0993	N0147	A Two-Staged LLM-Based Framework for CI/CD Failure Detection and Remediation with Industrial Validation	LogSage: An LLM-Based Framework for CI/CD Failure Detection and Remediation with Industrial Validation	https://arxiv.org/abs/2506.03691	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P0996	N0150	MicroRCA-Agent: Microservice Root Cause Analysis Method Based on Large Language Model Agent	MicroRCA-Agent: Microservice Root Cause Analysis Method Based on Large Language Model Agents	https://arxiv.org/abs/2509.15635	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
P1009	N0163	Learning from Change: Predictive Models for Incident Prevention in IT Operations	Learning from Change: Predictive Models for Incident Prevention in a Regulated IT Environment	https://arxiv.org/abs/2604.13462	primary_title_identifier_confirmed	Khác biệt tiêu đề/phiên bản; không tự kết luận mọi khác biệt là trích dẫn sai.
