path_glob	artifact_class	authority	owner_source	exact_revision	license_expression	evidence_snapshot	grant_scope	grant_exclusions	redistribution_status	sensitive_data_status	disposition	approval_scope	approver	decision_id	expiry	size_exception_mib	notes
02_datasets/processed/**	processed-telemetry	canonical	project-derived-from-RCAEval	HEAD	MIT	02_datasets/licenses_and_lineage.md	de-identified-processed-extracts	raw-parquet-gold-labels	approved	redacted_approved	keep_public	public-git-tip	repository-policy	PUB-2026-09-16-DERIVED-REDACTED			Root MIT covers project Software only.
03_collection_plan/knowledge-corpus-historical/**	knowledge-corpus	canonical	upstream-with-attribution	HEAD	Apache-2.0 OR CC-BY-4.0	03_collection_plan/knowledge-corpus-historical/source-manifest.jsonl	attributed-processed-chunks-and-manifests	raw-source-snapshots-trademarks-external-assets	approved	none	keep_public	public-git-tip	repository-policy	PUB-2026-09-16-CORPUS-ATTRIBUTED			Root MIT covers project Software only.
03_collection_plan/knowledge-corpus/**	knowledge-corpus	canonical	upstream-with-attribution	HEAD	Apache-2.0 OR CC-BY-4.0	03_collection_plan/knowledge-corpus/source-manifest.jsonl	attributed-processed-chunks-and-manifests	raw-source-snapshots-trademarks-external-assets	approved	none	keep_public	public-git-tip	repository-policy	PUB-2026-09-16-CORPUS-ATTRIBUTED			Root MIT covers project Software only.
01_papers/**	paper-metadata	canonical	project-compiled-metadata	HEAD	CC0-1.0 AND MIT	01_papers/enriched/README.md	descriptive-metadata-and-hand-authored-notes	full-text-pdf-cache	approved	public_metadata_approved	keep_public	public-git-tip	repository-policy	PUB-2026-09-16-METADATA			Root MIT covers project Software only.
02_datasets/**	dataset-metadata	canonical	project-owned	HEAD	MIT	02_datasets/licenses_and_lineage.md	catalog-cards-lineage-docs	raw-gold	approved	none	keep_public	public-git-tip	repository-policy	PUB-2026-09-16-OWNED-WORK			Root MIT covers project Software only.
03_collection_plan/**	collection-plan	canonical	project-owned	HEAD	MIT	LICENSE	schemas-manifests-annotation-kit	third-party-data-full-text-pdf-raw-vendor-weights	approved	none	keep_public	public-git-tip	repository-policy	PUB-2026-09-16-OWNED-WORK			Root MIT covers project Software only.
04_audit/**	audit-records	canonical	project-owned	HEAD	MIT	LICENSE	validation-receipts-and-ledgers	third-party-data-full-text-pdf-raw-vendor-weights	approved	none	keep_public	public-git-tip	repository-policy	PUB-2026-09-16-OWNED-WORK			Root MIT covers project Software only.
05_research/**	research-docs	canonical	project-owned	HEAD	MIT	LICENSE	hand-authored-research-docs	third-party-data-full-text-pdf-raw-vendor-weights	approved	none	keep_public	public-git-tip	repository-policy	PUB-2026-09-16-OWNED-WORK			Root MIT covers project Software only.
00_plan/**	project-plan	canonical	project-owned	HEAD	MIT	LICENSE	hand-authored-course-plan	third-party-data-full-text-pdf-raw-vendor-weights	approved	none	keep_public	public-git-tip	repository-policy	PUB-2026-09-16-OWNED-WORK			Root MIT covers project Software only.
06_implementation/**	implementation	canonical	project-owned	HEAD	MIT	LICENSE	code-configs-schemas-docs-fixtures	third-party-data-full-text-pdf-raw-vendor-weights	approved	none	keep_public	public-git-tip	repository-policy	PUB-2026-09-16-OWNED-WORK			Root MIT covers project Software only.
scripts/**	scripts	canonical	project-owned	HEAD	MIT	LICENSE	project-scripts	third-party-data-full-text-pdf-raw-vendor-weights	approved	none	keep_public	public-git-tip	repository-policy	PUB-2026-09-16-OWNED-WORK			Root MIT covers project Software only.
plans/reports/260913-independent-plans-contracts.md	g0-contract-snapshot	canonical	project-owned	HEAD	MIT	LICENSE	frozen-g0-handoff-contract	third-party-data-full-text-pdf-raw-vendor-weights	approved	none	keep_public	public-git-tip	repository-policy	PUB-2026-09-17-G0-CONTRACT-SNAPSHOT			G0 freeze source. Other AgentKit plans are local-only.
plans/**	internal-plans	generated	third-party	see-acquisition-manifest	NOASSERTION	01_papers/enriched/README.md	none	all-bytes	internal_only	unknown	remove_public	local-workspace-only	repository-policy	PUB-2026-09-17-AGENT-PLANS-LOCAL			AgentKit overlays stay gitignored; do not track timestamped cook plans.
docs/**	publication-policy	canonical	project-owned	HEAD	MIT	LICENSE	publication-and-release-docs	third-party-data-full-text-pdf-raw-vendor-weights	approved	none	keep_public	public-git-tip	repository-policy	PUB-2026-09-16-OWNED-WORK			Root MIT covers project Software only.
.github/**	ci-config	canonical	project-owned	HEAD	MIT	LICENSE	offline-pr-and-heavy-workflows	third-party-data-full-text-pdf-raw-vendor-weights	approved	none	keep_public	public-git-tip	repository-policy	PUB-2026-09-16-OWNED-WORK			Root MIT covers project Software only.
README.md	repo-root	canonical	project-owned	HEAD	MIT	LICENSE	root-docs-license-manifests	third-party-data-full-text-pdf-raw-vendor-weights	approved	none	keep_public	public-git-tip	repository-policy	PUB-2026-09-16-OWNED-WORK			Root MIT covers project Software only.
START-HERE.md	repo-root	canonical	project-owned	HEAD	MIT	LICENSE	root-docs-license-manifests	third-party-data-full-text-pdf-raw-vendor-weights	approved	none	keep_public	public-git-tip	repository-policy	PUB-2026-09-16-OWNED-WORK			Root MIT covers project Software only.
LICENSE	repo-root	canonical	project-owned	HEAD	MIT	LICENSE	root-docs-license-manifests	third-party-data-full-text-pdf-raw-vendor-weights	approved	none	keep_public	public-git-tip	repository-policy	PUB-2026-09-16-OWNED-WORK			Root MIT covers project Software only.
MANIFEST_SHA256.txt	historical-snapshot	canonical	project-owned	HEAD	MIT	LICENSE	audit-snapshot-not-current-freeze	third-party-data-full-text-pdf-raw-vendor-weights	approved	none	keep_public	public-git-tip	repository-policy	PUB-2026-09-16-OWNED-WORK			Root MIT covers project Software only.
MANIFEST_RESEARCH_SHA256.txt	historical-snapshot	canonical	project-owned	HEAD	MIT	LICENSE	audit-snapshot-not-current-freeze	third-party-data-full-text-pdf-raw-vendor-weights	approved	none	keep_public	public-git-tip	repository-policy	PUB-2026-09-16-OWNED-WORK			Root MIT covers project Software only.
.gitignore	repo-root	canonical	project-owned	HEAD	MIT	LICENSE	root-docs-license-manifests	third-party-data-full-text-pdf-raw-vendor-weights	approved	none	keep_public	public-git-tip	repository-policy	PUB-2026-09-16-OWNED-WORK			Root MIT covers project Software only.
.gitattributes	repo-root	canonical	project-owned	HEAD	MIT	LICENSE	root-docs-license-manifests	third-party-data-full-text-pdf-raw-vendor-weights	approved	none	keep_public	public-git-tip	repository-policy	PUB-2026-09-16-OWNED-WORK			Root MIT covers project Software only.
