source_row	final_paper_id	original_title	input_url	observed_title
R0012	P0012	A System-Wide Debugging Assistant Powered by Natural Language Processing	https://doi.org/10.1145/3357223.3362701	A System-Wide Debugging Assistant Powered by Natural Language Processing
R0013	P0013	Mining Root Cause Knowledge from Cloud Service Incident Investigations for AIOps	https://arxiv.org/abs/2204.11598	Mining Root Cause Knowledge from Cloud Service Incident Investigations for AIOps
R0014	P0014	Neural knowledge extraction from cloud service incidents	https://doi.org/10.1109/ICSE-SEIP52600.2021.00031	Neural knowledge extraction from cloud service incidents
R0015	P0015	SoftNER: Mining Knowledge Graphs From Cloud Incidents	https://arxiv.org/abs/2101.05961	SoftNER: Mining Knowledge Graphs From Cloud Incidents
R0016	P0016	A Causality Mining and Knowledge Graph Based Method of Root Cause Diagnosis for Performance Anomaly in Cloud Applications	https://www.mdpi.com/2076-3417/10/6/2166	A Causality Mining and Knowledge Graph Based Method of Root Cause Diagnosis for Performance Anomaly in Cloud Applications
R0017	P0017	Sage: Practical & Scalable ML-Driven Performance Debugging in Microservices	https://doi.org/10.1145/3445814.3446700	Sage: Practical & Scalable ML-Driven Performance Debugging in Microservices
R0018	P0018	Graph-based trace analysis for microservice architecture understanding and problem diagnosis	https://doi.org/10.1145/3368089.3417066	Graph-based trace analysis for microservice architecture understanding and problem diagnosis
R0019	P0019	FIRM: An Intelligent Fine-grained Resource Management Framework for SLO-Oriented Microservices	https://www.usenix.org/conference/osdi20/presentation/qiu	FIRM: An Intelligent Fine-grained Resource Management Framework for SLO-Oriented Microservices
R0020	P0020	Latent Error Prediction and Fault Localization for Microservice Applications by Learning from System Trace Logs	https://doi.org/10.1145/3338906.3338961	Latent Error Prediction and Fault Localization for Microservice Applications by Learning from System Trace Logs
R0021	P0021	Fault Analysis and Debugging of Microservice Systems: Industrial Survey, Benchmark System, and Empirical Study	https://ieeexplore.ieee.org/document/8580420/	Fault Analysis and Debugging of Microservice Systems: Industrial Survey, Benchmark System, and Empirical Study
R0022	P0022	AID: Efficient Prediction of Aggregated Intensity of Dependency in Large-scale Cloud Systems	https://arxiv.org/abs/2109.04893	AID: Efficient Prediction of Aggregated Intensity of Dependency in Large-scale Cloud Systems
R0023	P0023	X-Trace: A Pervasive Network Tracing Framework	https://www.usenix.org/conference/nsdi-07/x-trace-pervasive-network-tracing-framework	X-Trace: A Pervasive Network Tracing Framework
R0024	P0024	Discovering Dependencies for Network Management	https://www.microsoft.com/en-us/research/wp-content/uploads/2006/11/hotnets06.pdf	Discovering Dependencies for Network Management
R0025	P0025	The Tale of Errors in Microservices	https://doi.org/10.1145/3700436	The Tale of Errors in Microservices
R0026	P0026	Share or Not Share? Towards the Practicability of Deep Models for Unsupervised Anomaly Detection in Modern Online Systems	https://ieeexplore.ieee.org/document/9978953	Share or Not Share? Towards the Practicability of Deep Models for Unsupervised Anomaly Detection in Modern Online Systems
R0027	P0027	Adaptive Performance Anomaly Detection for Online Service Systems via Pattern Sketching	https://arxiv.org/abs/2201.02944	Adaptive Performance Anomaly Detection for Online Service Systems via Pattern Sketching
R0028	P0028	Time-Series Anomaly Detection Service at Microsoft	https://doi.org/10.1145/3292500.3330680	Time-Series Anomaly Detection Service at Microsoft
R0029	P0029	Identifying Impactful Service System Problems via Log Analysis	https://doi.org/10.1145/3236024.3236083	Identifying Impactful Service System Problems via Log Analysis
R0030	P0030	DeepLog: Anomaly Detection and Diagnosis from System Logs through Deep Learning	https://doi.org/10.1145/3133956.3134015	DeepLog: Anomaly Detection and Diagnosis from System Logs through Deep Learning
R0031	P0031	Murphy: Performance Diagnosis of Distributed Cloud Applications	https://doi.org/10.1145/3603269.3604877	Murphy: Performance Diagnosis of Distributed Cloud Applications
R0032	P0032	Nezha: Interpretable Fine-Grained Root Causes Analysis for Microservices on Multi-modal Observability Data	https://doi.org/10.1145/3611643.3616249	Nezha: Interpretable Fine-Grained Root Causes Analysis for Microservices on Multi-modal Observability Data
R0033	P0033	Capturing and Enhancing In Situ System Observability for Failure Detection	https://www.usenix.org/conference/osdi18/presentation/huang	Capturing and Enhancing In Situ System Observability for Failure Detection
R0034	P0034	AutoARTS: Taxonomy, Insights and Tools for Root Cause Labelling of Incidents in Microsoft Azure	https://www.usenix.org/conference/atc23/presentation/dogga	AutoARTS: Taxonomy, Insights and Tools for Root Cause Labelling of Incidents in Microsoft Azure
R0035	P0035	Incident-aware Duplicate Ticket Aggregation for Cloud Systems	https://arxiv.org/abs/2302.09520	Incident-aware Duplicate Ticket Aggregation for Cloud Systems
R0036	P0036	How to Fight Production Incidents? An Empirical Study on a Large-scale Cloud Service	https://doi.org/10.1145/3542929.3563482	How to Fight Production Incidents? An Empirical Study on a Large-scale Cloud Service
R0037	P0037	Characterizing and Mitigating Anti-patterns of Alerts in Industrial Cloud Systems	https://arxiv.org/abs/2204.09670	Characterizing and Mitigating Anti-patterns of Alerts in Industrial Cloud Systems
R0038	P0038	Fighting the Fog of War: Automated Incident Detection for Cloud Systems	https://www.usenix.org/conference/atc21/presentation/li-liqun	Fighting the Fog of War: Automated Incident Detection for Cloud Systems
R0039	P0039	Graph-based Incident Aggregation for Large-Scale Online Service Systems	https://arxiv.org/abs/2108.12179	Graph-based Incident Aggregation for Large-Scale Online Service Systems
R0040	P0040	Groot: An Event-graph-based Approach for Root Cause Analysis in Industrial Settings	https://arxiv.org/abs/2108.00344	Groot: An Event-graph-based Approach for Root Cause Analysis in Industrial Settings
R0041	P0041	Scouts: Improving the Diagnosis Process Through Domain-customized Incident Routing	https://doi.org/10.1145/3387514.3405867	Scouts: Improving the Diagnosis Process Through Domain-customized Incident Routing
R0042	P0042	How Incidental are the Incidents?: Characterizing and Prioritizing Incidents for Large-Scale Online Service Systems	https://doi.org/10.1145/3324884.3416624	How Incidental are the Incidents?: Characterizing and Prioritizing Incidents for Large-Scale Online Service Systems
R0043	P0043	Identifying linked incidents in large-scale online service systems	https://doi.org/10.1145/3368089.3409768	Identifying linked incidents in large-scale online service systems
R0044	P0044	Efficient incident identification from multi-dimensional issue reports via meta-heuristic search	https://doi.org/10.1145/3368089.3409741	Efficient incident identification from multi-dimensional issue reports via meta-heuristic search
R0045	P0045	Real-time incident prediction for online service systems	https://doi.org/10.1145/3368089.3409672	Real-time incident prediction for online service systems
R0046	P0046	How to mitigate the incident? an effective troubleshooting guide recommendation technique for online service systems	https://doi.org/10.1145/3368089.3417054	How to mitigate the incident? an effective troubleshooting guide recommendation technique for online service systems
R0047	P0047	Understanding and Handling Alert Storm for Online Service Systems	https://doi.org/10.1145/3377813.3381363	Understanding and Handling Alert Storm for Online Service Systems
R0048	P0048	What bugs cause production cloud incidents?	https://doi.org/10.1145/3317550.3321438	What bugs cause production cloud incidents?
R0049	P0049	Continuous Incident Triage for Large-Scale Online Service Systems	https://doi.org/10.1109/ASE.2019.00042	Continuous Incident Triage for Large-Scale Online Service Systems
R0050	P0050	An empirical investigation of incident triage for online service systems	https://doi.org/10.1109/ICSE-SEIP.2019.00020	An empirical investigation of incident triage for online service systems
R0051	P0051	Outage Prediction and Diagnosis for Cloud Service Systems	https://doi.org/10.1145/3308558.3313501	Outage Prediction and Diagnosis for Cloud Service Systems
R0052	P0052	A Survey of AIOps for Failure Management in the Era of Large Language Models	https://arxiv.org/abs/2406.11213	A Survey of AIOps for Failure Management in the Era of Large Language Models
R0053	P0053	AI Assistants for Incident Lifecycle in a Microservice Environment: A Systematic Literature Review	https://arxiv.org/abs/2410.04334	AI Assistants for Incident Lifecycle in a Microservice Environment: A Systematic Literature Review
R0054	P0054	AIOpsLab: A Holistic Framework for Evaluating AI Agents for Enabling Autonomous Cloud	https://arxiv.org/abs/2501.06706	AIOpsLab: A Holistic Framework to Evaluate AI Agents for Enabling Autonomous Clouds
R0055	P0055	ITBench: Evaluating AI Agents across Diverse Real-World IT Automation Tasks	https://arxiv.org/abs/2502.05352	ITBench: Evaluating AI Agents across Diverse Real-World IT Automation Tasks
R0056	P0056	An Empirical Study of Production Incidents in Generative AI Cloud Services	https://yinfangchen.github.io/assets/pdf/empirical_study.pdf	An Empirical Study of Production Incidents in Generative AI Cloud Services
R0057	P0057	A Holistic View of AI-driven Network Incident Management	https://www.microsoft.com/en-us/research/uploads/prod/2023/09/LLM4IcMs___HotNets__23-6.pdf	A Holistic View of AI-driven Network Incident Management
R0058	P0058	Building AI Agents for Autonomous Clouds: Challenges and Design Principles	https://arxiv.org/abs/2407.12165	Building AI Agents for Autonomous Clouds: Challenges and Design Principles
R0059	P0059	D-Bot: Database Diagnosis System using Large Language Models	https://arxiv.org/abs/2312.01454	D-Bot: Database Diagnosis System using Large Language Models
R0060	P0060	NetAssistant: Dialogue Based Network Diagnosis in Data Center Networks	https://www.usenix.org/system/files/nsdi24-wang-haopei.pdf	NetAssistant: Dialogue Based Network Diagnosis in Data Center Networks
R0061	P0061	FLASH: A Workflow Automation Agent for Diagnosing Recurring Incidents	https://www.microsoft.com/en-us/research/uploads/prod/2024/10/FLASH_Paper.pdf	FLASH: A Workflow Automation Agent for Diagnosing Recurring Incidents
R0062	P0062	Incident Response Planning Using a Lightweight Large Language Model with Reduced Hallucination	https://www.ndss-symposium.org/ndss-paper/incident-response-planning-using-a-lightweight-large-language-model-with-reduced-hallucination/	Incident Response Planning Using a Lightweight Large Language Model with Reduced Hallucination
R0063	P0063	Knowledge-aware Alert Aggregation in Large-scale Cloud Systems: a Hybrid Approach	https://arxiv.org/abs/2403.06485	Knowledge-aware Alert Aggregation in Large-scale Cloud Systems: a Hybrid Approach
R0064	P0064	Large Language Models Can Provide Accurate and Interpretable Incident Triage	https://www.microsoft.com/en-us/research/uploads/prod/2024/08/ISSRE24_LLM4triage.pdf	Large Language Models Can Provide Accurate and Interpretable Incident Triage
R0065	P0065	MonitorAssistant: Simplifying Cloud Service Monitoring via Large Language Models	https://netman.aiops.org/wp-content/uploads/2024/07/MonitorAssistant_CameraReady-v1.5_submitted.pdf	MonitorAssistant: Simplifying Cloud Service Monitoring via Large Language Models
R0066	P0066	Large Language Models can Deliver Accurate and Interpretable Time Series Anomaly Detection	https://arxiv.org/abs/2405.15370	Large Language Models can Deliver Accurate and Interpretable Time Series Anomaly Detection
R0067	P0067	Argos: Agentic Time-Series Anomaly Detection with Autonomous Rule Generation via Large Language Models	https://arxiv.org/abs/2501.14170	Argos: Agentic Time-Series Anomaly Detection with Autonomous Rule Generation via Large Language Models
R0068	P0068	The Potential of One-Shot Failure Root Cause Analysis: Collaboration of the Large Language Model and Small Classifier	https://doi.org/10.1145/3691620.3695475	The Potential of One-Shot Failure Root Cause Analysis: Collaboration of the Large Language Model and Small Classifier
R0069	P0069	LM-PACE: Confidence Estimation by Large Language Models for Effective Root Causing of Cloud Incidents	https://arxiv.org/abs/2309.05833	PACE-LM: Prompting and Augmentation for Calibrated Confidence Estimation with GPT-4 in Cloud Incident Root Cause Analysis
R0070	P0070	X-lifecycle Learning for Cloud Incident Management using LLMs	https://arxiv.org/abs/2404.03662	X-lifecycle Learning for Cloud Incident Management using LLMs
R0071	P0071	RCAgent: Cloud Root Cause Analysis by Autonomous Agents with Tool-Augmented Large Language Models	https://arxiv.org/abs/2310.16340	RCAgent: Cloud Root Cause Analysis by Autonomous Agents with Tool-Augmented Large Language Models
R0072	P0072	mABC: Multi-Agent Blockchain-inspired Collaboration for Root Cause Analysis in Micro-Services Architecture	https://arxiv.org/abs/2404.12135	mABC: multi-Agent Blockchain-Inspired Collaboration for root cause analysis in micro-services architecture
R0073	P0073	Cloud Atlas: Efficient Fault Localization for Cloud Systems using Language Models and Causal Insight	https://arxiv.org/abs/2407.08694	Cloud Atlas: Efficient Fault Localization for Cloud Systems using Language Models and Causal Insight
R0074	P0074	Flow-of-Action: SOP Enhanced LLM-Based Multi-Agent System for Root Cause Analysis	https://arxiv.org/abs/2502.08224	Flow-of-Action: SOP Enhanced LLM-Based Multi-Agent System for Root Cause Analysis
R0075	P0075	OpenRCA: Can Large Language Models Locate the Root Cause of Software Failures?	https://openreview.net/forum?id=M4qNIzQYpd	OpenRCA: Can Large Language Models Locate the Root Cause of Software Failures?
R0076	P0076	AgentFM: Role-Aware Failure Management for Distributed Databases with LLM-Driven Multi-Agents	https://arxiv.org/abs/2504.06614	AgentFM: Role-Aware Failure Management for Distributed Databases with LLM-Driven Multi-Agents
R0077	P0077	ThinkFL: Self-Refining Failure Localization for Microservice Systems via Reinforcement Fine-Tuning	https://arxiv.org/abs/2504.18776	ThinkFL: Self-Refining Failure Localization for Microservice Systems via Reinforcement Fine-Tuning
R0078	P0078	eARCO: Efficient Automated Root Cause Analysis with Prompt Optimization	https://arxiv.org/abs/2504.11505	eARCO: Efficient Automated Root Cause Analysis with Prompt Optimization
R0079	P0079	COCA: Generative Root Cause Analysis for Distributed Systems with Code Knowledge	https://arxiv.org/abs/2503.23051	COCA: Generative Root Cause Analysis for Distributed Systems with Code Knowledge
R0080	P0080	FVDebug: An LLM-Driven Debugging Assistant for Automated Root Cause Analysis of Formal Verification Failures	https://arxiv.org/abs/2510.15906	FVDebug: An LLM-Driven Debugging Assistant for Automated Root Cause Analysis of Formal Verification Failures
R0081	P0081	LogPilot: Intent-aware and Scalable Alert Diagnosis for Large-scale Online Service Systems	https://www.zhihan-jiang.com/files/ASE25/LogPilot.pdf	LogPilot: Intent-aware and Scalable Alert Diagnosis for Large-scale Online Service Systems
R0082	P0082	Rethinking the Evaluation of Microservice RCA with a Fault Propagation-Aware Benchmark	https://arxiv.org/abs/2510.04711	Rethinking the Evaluation of Microservice RCA with a Fault Propagation-Aware Benchmark
R0083	P0083	RCAFlow: A Workflow-Informed Hierarchical Planning Multi-Agent System for Root Cause Analysis	https://ojs.aaai.org/index.php/AAAI/article/view/36991	RCAFlow: A Workflow-Informed Hierarchical Planning Multi-Agent System for Root Cause Analysis
R0084	P0084	Towards In-Depth Root Cause Localization for Microservices with Multi-Agent Recursion-of-Thought	https://arxiv.org/abs/2605.14866	Towards In-Depth Root Cause Localization for Microservices with Multi-Agent Recursion-of-Thought
R0085	P0085	Agentic Memory Enhanced Recursive Reasoning for Root Cause Localization in Microservices	https://arxiv.org/abs/2601.02732	Agentic Memory Enhanced Recursive Reasoning for Root Cause Localization in Microservices
R0086	P0086	Stalled, Biased, and Confused: Uncovering Reasoning Failures in LLMs for Cloud-Based Root Cause Analysis	https://arxiv.org/abs/2601.22208	Stalled, Biased, and Confused: Uncovering Reasoning Failures in LLMs for Cloud-Based Root Cause Analysis
R0087	P0087	Representation-Aware Root Cause Analysis with Large Language Models (Position Paper)	https://doi.org/10.1145/3777911.3801108	Representation-Aware Root Cause Analysis with Large Language Models (Position Paper)
R0088	P0088	Leveraging Multi-Agent Framework for Root Cause Analysis	https://doi.org/10.1007/s40747-025-02096-0	Leveraging Multi-Agent Framework for Root Cause Analysis
R0089	P0089	Anomaly Detection and Root Cause Analysis in Cloud-Native Environments Using Large Language Models and Bayesian Networks	https://ieeexplore.ieee.org/abstract/document/10979844	Anomaly Detection and Root Cause Analysis in Cloud-Native Environments Using Large Language Models and Bayesian Networks
R0090	P0090	TrioXpert: An Automated Incident Management Framework for Microservice System	https://arxiv.org/abs/2506.10043	TrioXpert: An Automated Incident Management Framework for Microservice System
R0091	P0091	OpsAgent: An Evolving Multi-agent System for Incident Management in Microservices	https://arxiv.org/abs/2510.24145	OpsAgent: An Evolving Multi-agent System for Incident Management in Microservices
R0092	P0092	Graph of States: Solving Abductive Tasks with Large Language Models	https://arxiv.org/abs/2603.21250	Graph of States: Solving Abductive Tasks with Large Language Models
R0093	P0093	OpsMem: Dual-Memory Reasoning with Cross-Memory Resonance for Failure Diagnosis	https://arxiv.org/abs/2607.11357	OpsMem: Dual-Memory Reasoning with Cross-Memory Resonance for Failure Diagnosis
R0094	P0094	FoundRoot: Towards Foundation Model for Root Cause Analysis via Structured Deep Thinking	https://netman.aiops.org/wp-content/uploads/2026/01/foundroot_camera_ready.pdf	FoundRoot: Towards Foundation Model for Root Cause Analysis via Structured Deep Thinking
R0095	P0095	LLexus: an AI agent system for incident management	https://www.microsoft.com/en-us/research/publication/llexus-an-ai-agent-system-for-incident-management/	LLexus: an AI agent system for incident management
R0096	P0096	Leveraging Large Language Models for the Auto-remediation of Microservice Applications - An Experimental Study	https://doi.org/10.1145/3663529.3663855	Leveraging Large Language Models for the Auto-remediation of Microservice Applications - An Experimental Study
R0097	P0097	Retrieval Augmented Generation-Based Incident Resolution Recommendation System for IT Support	https://arxiv.org/abs/2409.13707	Retrieval Augmented Generation-Based Incident Resolution Recommendation System for IT Support
R0098	P0098	STRATUS: A Multi-agent System for Autonomous Reliability Engineering of Modern Clouds	https://yinfangchen.github.io/assets/pdf/stratus_paper.pdf	STRATUS: A Multi-agent System for Autonomous Reliability Engineering of Modern Clouds
R0099	P0099	FaultProfIT: Hierarchical Fault Profiling of Incident Tickets in Large-scale Cloud Systems	https://doi.org/10.1145/3639477.3639754	FaultProfIT: Hierarchical Fault Profiling of Incident Tickets in Large-scale Cloud Systems
R0100	P0100	FAIL: Analyzing Software Failures from the News Using LLMs	https://arxiv.org/abs/2406.08221	FAIL: Analyzing Software Failures from the News Using LLMs
R0101	P0101	An Empirical Study of NetOps Capability of Pre-Trained Large Language Models	https://arxiv.org/abs/2309.05557	An Empirical Study of NetOps Capability of Pre-Trained Large Language Models
R0102	P0102	OWL: A Large Language Model for IT Operations	https://openreview.net/forum?id=SZOQ9RKYJu	OWL: A Large Language Model for IT Operations
R0103	P0103	Gloss: Guiding Large Language Models to Answer Questions from System Logs	https://ieeexplore.ieee.org/abstract/document/10589781	Gloss: Guiding Large Language Models to Answer Questions from System Logs
R0104	P0104	iKnow: an Intent-Guided Chatbot for Cloud Operations with Retrieval-Augmented Generation	https://jun-jie-huang.github.io/assets/papers/ase25_iknow.pdf	iKnow: an Intent-Guided Chatbot for Cloud Operations with Retrieval-Augmented Generation
R0105	P0105	LLMPrism: Black-box Performance Diagnosis for Production LLM Training Platforms	https://www.zhihan-jiang.com/files/DSN25/LLMPrism.pdf	LLMPrism: Black-box Performance Diagnosis for Production LLM Training Platforms
R0106	P0106	Log Parsing: How Far Can ChatGPT Go?	https://arxiv.org/abs/2306.01590	Log Parsing: How Far Can ChatGPT Go?
R0107	P0107	A Large-Scale Evaluation for Log Parsing Techniques: How Far Are We?	https://arxiv.org/abs/2308.10828	A Large-Scale Evaluation for Log Parsing Techniques: How Far Are We?
R0108	P0108	DivLog: Log Parsing with Prompt Enhanced In-Context Learning	https://arxiv.org/abs/2307.09950	Prompting for Automatic Log Template Extraction
R0109	P0109	LLMParser: An Exploratory Study on Using Large Language Models for Log Parsing	https://arxiv.org/abs/2404.18001	LLMParser: An Exploratory Study on Using Large Language Models for Log Parsing
R0110	P0110	Interpretable Online Log Analysis Using Large Language Models with Prompt Strategies	https://arxiv.org/abs/2308.07610	Interpretable Online Log Analysis Using Large Language Models with Prompt Strategies
R0111	P0111	Stronger, Cheaper and Demonstration-Free Log Parsing with LLMs	https://arxiv.org/abs/2406.06156	Stronger, Cheaper and Demonstration-Free Log Parsing with LLMs
R0112	P0112	LEMUR: Log Parsing with Entropy Sampling and Chain-of-Thought Merging	https://arxiv.org/abs/2402.18205	Lemur: Log Parsing with Entropy Sampling and Chain-of-Thought Merging
R0113	P0113	Log Parsing with Self-Generated In-Context Learning and Self-Correction	https://arxiv.org/abs/2406.03376	Log Parsing using LLMs with Self-Generated In-Context Learning and Self-Correction
R0114	P0114	LibreLog: Accurate and Efficient Unsupervised Log Parsing Using Open-Source Large Language Models	https://arxiv.org/abs/2408.01585	LibreLog: Accurate and Efficient Unsupervised Log Parsing Using Open-Source Large Language Models
R0115	P0115	No More Labelled Examples? An Unsupervised Log Parser with LLMs	https://arxiv.org/abs/2406.07174	LUNAR: Unsupervised LLM-based Log Parsing
R0116	P0116	MicLog: Towards Accurate and Efficient LLM-based Log Parsing via Progressive Meta In-Context Learning	https://ojs.aaai.org/index.php/AAAI/article/view/37123	MicLog: Towards Accurate and Efficient LLM-based Log Parsing via Progressive Meta In-Context Learning
R0117	P0117	Log-based Anomaly Detection based on EVT Theory with feedback	https://arxiv.org/abs/2306.05032	Log-based Anomaly Detection based on EVT Theory with feedback
R0118	P0118	LogGPT: Exploring ChatGPT for Log-Based Anomaly Detection	https://arxiv.org/abs/2309.01189	LogGPT: Exploring ChatGPT for Log-Based Anomaly Detection
R0119	P0119	LLMeLog: An Approach for Anomaly Detection based on LLM-enriched Log Events	https://ieeexplore.ieee.org/abstract/document/10771398	LLMeLog: An Approach for Anomaly Detection based on LLM-enriched Log Events
R0120	P0120	RAGLog: Log Anomaly Detection using Retrieval Augmented Generation	https://arxiv.org/abs/2311.05261	RAGLog: Log Anomaly Detection using Retrieval Augmented Generation
R0121	P0121	Anomaly Detection on Unstable Logs with GPT Models	https://arxiv.org/abs/2406.07467	LLM meets ML: Data-efficient Anomaly Detection on Unstable Logs
R0122	P0122	CodeAD: Synthesize Code of Rules for Log-based Anomaly Detection with LLMs	https://arxiv.org/abs/2510.22986	CodeAD: Synthesize Code of Rules for Log-based Anomaly Detection with LLMs
R0123	P0123	Go Static: Contextualized Logging Statement Generation	https://arxiv.org/abs/2402.12958	Go Static: Contextualized Logging Statement Generation
R0124	P0124	UniLog: Automatic Logging via LLM and In-Context Learning	https://www.computer.org/csdl/proceedings-article/icse/2024/021700a129/1RLIWpCelqg	UniLog: Automatic Logging via LLM and In-Context Learning
R0125	P0125	FastLog: An End-to-End Method to Efficiently Generate and Insert Logging Statements	https://arxiv.org/abs/2311.02862	FastLog: An End-to-End Method to Efficiently Generate and Insert Logging Statements
R0126	P0126	ShapleyIQ: Influence Quantification by Shapley Values for Performance Debugging of Microservices	https://doi.org/10.1145/3623278.3624771	ShapleyIQ: Influence Quantification by Shapley Values for Performance Debugging of Microservices
R0127	P0127	PerfCE: Performance Debugging on Databases with Chaos Engineering-Enhanced Causality Analysis	https://arxiv.org/abs/2207.08369	PerfCE: Performance Debugging on Databases with Chaos Engineering-Enhanced Causality Analysis
R0128	P0128	CONAN: Diagnosing Batch Failures for Cloud Systems	https://ieeexplore.ieee.org/document/10172587	CONAN: Diagnosing Batch Failures for Cloud Systems
R0129	P0129	CMDiagnostor: An Ambiguity-Aware Root Cause Localization Approach Based on Call Metric Data	https://netman.aiops.org/wp-content/uploads/2023/02/CMDiagnostor_www_2023.pdf	CMDiagnostor: An Ambiguity-Aware Root Cause Localization Approach Based on Call Metric Data
R0130	P0130	CausIL: Causal Graph for Instance Level Microservice Data	https://arxiv.org/abs/2303.00554	CausIL: Causal Graph for Instance Level Microservice Data
R0131	P0131	MicroLens: A Performance Analysis Framework for Microservices Using Hidden Metrics With BPF	https://ieeexplore.ieee.org/document/9860695	MicroLens: A Performance Analysis Framework for Microservices Using Hidden Metrics With BPF
R0132	P0132	RAPMiner: A Generic Anomaly Localization Mechanism for CDN System with Multi-dimensional KPIs	https://ieeexplore.ieee.org/document/9833589/	RAPMiner: A Generic Anomaly Localization Mechanism for CDN System with Multi-dimensional KPIs
R0133	P0133	Graph based Incident Extraction and Diagnosis in Large-Scale Online Systems	https://yuxiaoba.github.io/publication/gied22/gied22.pdf	Graph based Incident Extraction and Diagnosis in Large-Scale Online Systems
R0134	P0134	Actionable and Interpretable Fault Localization for Recurring Failures in Online Service Systems	https://arxiv.org/abs/2207.09021	Actionable and Interpretable Fault Localization for Recurring Failures in Online Service Systems
R0135	P0135	MicroDiag: Fine-grained Performance Diagnosis for Microservice Systems	https://hal.inria.fr/hal-03155797/document	MicroDiag: Fine-grained Performance Diagnosis for Microservice Systems
R0136	P0136	MicroHECL: High-Efficient Root Cause Localization in Large-Scale Microservice Systems	https://arxiv.org/abs/2103.01782	MicroHECL: High-Efficient Root Cause Localization in Large-Scale Microservice Systems
R0137	P0137	Identifying Root-Cause Metrics for Incident Diagnosis in Online Service Systems	https://netman.aiops.org/wp-content/uploads/2021/10/wch_ISSRE-1.pdf	Identifying Root-Cause Metrics for Incident Diagnosis in Online Service Systems
R0138	P0138	ImpAPTr: A Tool For Identifying The Clues To Online Service Anomalies	https://doi.org/10.1145/3324884.3415301	ImpAPTr: A Tool For Identifying The Clues To Online Service Anomalies
R0139	P0139	Diagnosing Root Causes of Intermittent Slow Queries in Cloud Databases	https://www.vldb.org/pvldb/vol13/p1176-ma.pdf	Diagnosing Root Causes of Intermittent Slow Queries in Cloud Databases
R0140	P0140	Localizing Failure Root Causes in a Microservice through Causality Inference	https://ieeexplore.ieee.org/document/9213058	Localizing Failure Root Causes in a Microservice through Causality Inference
R0141	P0141	MicroRCA: Root Cause Localization of Performance Issues in Microservices	https://ieeexplore.ieee.org/document/9110353	MicroRCA: Root Cause Localization of Performance Issues in Microservices
R0142	P0142	Debugging Crashes using Continuous Contrast Set Mining	https://arxiv.org/abs/1911.04768	Debugging Crashes using Continuous Contrast Set Mining
R0143	P0143	ϵ-Diagnosis: Unsupervised and Real-time Diagnosis of Small-window Long-tail Latency in Large-scale Microservice Platforms	https://monadyn.github.io/Papers/p3215-shan.pdf	ϵ-Diagnosis: Unsupervised and Real-time Diagnosis of Small-window Long-tail Latency in Large-scale Microservice Platforms
R0144	P0144	Microscope: Pinpoint Performance Issues with Causal Graphs in Micro-service Environments	https://link.springer.com/chapter/10.1007/978-3-030-03596-9_1	Microscope: Pinpoint Performance Issues with Causal Graphs in Micro-service Environments
R0145	P0145	Orca: Differential Bug Localization in Large-Scale Services	https://www.usenix.org/conference/osdi18/presentation/bhagwan	Orca: Differential Bug Localization in Large-Scale Services
R0146	P0146	Adtributor: Revenue Debugging in Advertising Systems	https://www.usenix.org/system/files/conference/nsdi14/nsdi14-paper-bhagwan.pdf	Adtributor: Revenue Debugging in Advertising Systems
