task_id	query_id	incident_id	annotator_A_answerability	annotator_B_answerability	adjudicated_answerability	adjudication_rationale	reviewer_id	reviewed_at	review_state	annotation_version
ANN-238b7f9f97a3	inc_4b5a7b23f4b63679	inc_4b5a7b23f4b63679							needs_human_review	human-v1-pending
ANN-2aaa9e0be1f9	inc_e35ff7db68655611	inc_e35ff7db68655611							needs_human_review	human-v1-pending
ANN-2afb9e8423dd	inc_a9c5f4078ddde5fb	inc_a9c5f4078ddde5fb							needs_human_review	human-v1-pending
ANN-2f80c258a0c7	inc_9fd3139546e98ac3	inc_9fd3139546e98ac3							needs_human_review	human-v1-pending
ANN-3c2dac836439	inc_f8708eba53ac81da	inc_f8708eba53ac81da							needs_human_review	human-v1-pending
ANN-3d0c5b6b729d	inc_66efae16cc927faf	inc_66efae16cc927faf							needs_human_review	human-v1-pending
ANN-412e9f0e8d2b	inc_ff7d20c7a66ce259	inc_ff7d20c7a66ce259							needs_human_review	human-v1-pending
ANN-4445d1330b0f	inc_a03afc5462052d9f	inc_a03afc5462052d9f							needs_human_review	human-v1-pending
ANN-482c541d2fc7	inc_8130066a520a5fda	inc_8130066a520a5fda							needs_human_review	human-v1-pending
ANN-4ba89f30ce17	inc_83a340a96d2c2698	inc_83a340a96d2c2698							needs_human_review	human-v1-pending
ANN-4c44660bd75f	inc_447fc19738a290b6	inc_447fc19738a290b6							needs_human_review	human-v1-pending
ANN-4f50f60c737c	inc_5b4214f9c0e50d81	inc_5b4214f9c0e50d81							needs_human_review	human-v1-pending
ANN-4f7f3a1ab334	inc_4a55280ad595ec8d	inc_4a55280ad595ec8d							needs_human_review	human-v1-pending
ANN-4fb9f58e604c	inc_32ac1eca40134b1f	inc_32ac1eca40134b1f							needs_human_review	human-v1-pending
ANN-50e12480ea7e	inc_c7fb3974f7c1745e	inc_c7fb3974f7c1745e							needs_human_review	human-v1-pending
ANN-547faeb7cea1	inc_e5991ba8d859360d	inc_e5991ba8d859360d							needs_human_review	human-v1-pending
ANN-56442eca495a	inc_430574ac0b58cf27	inc_430574ac0b58cf27							needs_human_review	human-v1-pending
ANN-5bbcf0b8aa76	inc_87e54e05272da43e	inc_87e54e05272da43e							needs_human_review	human-v1-pending
ANN-5c03d8686968	inc_575674712ab891b4	inc_575674712ab891b4							needs_human_review	human-v1-pending
ANN-62cb893713ff	inc_ddb222a8702276b2	inc_ddb222a8702276b2							needs_human_review	human-v1-pending
ANN-63822ac28347	inc_08457c0fbff4700e	inc_08457c0fbff4700e							needs_human_review	human-v1-pending
ANN-6b84e9e5caca	inc_defe171a8ac63131	inc_defe171a8ac63131							needs_human_review	human-v1-pending
ANN-6d09917ac9a8	inc_c34729bda2a676bd	inc_c34729bda2a676bd							needs_human_review	human-v1-pending
ANN-7030fc47e664	inc_00f82e5883a2163d	inc_00f82e5883a2163d							needs_human_review	human-v1-pending
ANN-71815b73c14d	inc_3ca96f4fd6ec63a3	inc_3ca96f4fd6ec63a3							needs_human_review	human-v1-pending
ANN-7c34d50ddddd	inc_b9439b0dc3a8b3c3	inc_b9439b0dc3a8b3c3							needs_human_review	human-v1-pending
ANN-7ee254b84e29	inc_a7c4ff1c43ab561f	inc_a7c4ff1c43ab561f							needs_human_review	human-v1-pending
ANN-7f056f6e8cb2	inc_d1821966fc7791fc	inc_d1821966fc7791fc							needs_human_review	human-v1-pending
ANN-88e8aebfbeff	inc_a5147fba2d0d1f50	inc_a5147fba2d0d1f50							needs_human_review	human-v1-pending
ANN-8d91eef6cbbc	inc_defb07756e152786	inc_defb07756e152786							needs_human_review	human-v1-pending
ANN-914cb7ebbdef	inc_608c758f0e4c3f7c	inc_608c758f0e4c3f7c							needs_human_review	human-v1-pending
ANN-92942602b451	inc_28de536b28e1a888	inc_28de536b28e1a888							needs_human_review	human-v1-pending
ANN-9408df67e6be	inc_9f1ea2bb590b03b0	inc_9f1ea2bb590b03b0							needs_human_review	human-v1-pending
ANN-975dea25c9bf	inc_ed76f6a4a2ccbe29	inc_ed76f6a4a2ccbe29							needs_human_review	human-v1-pending
ANN-99e428ecf948	inc_c75fa18cc6e553d8	inc_c75fa18cc6e553d8							needs_human_review	human-v1-pending
ANN-9d3025d2f073	inc_0f782051d78bc07a	inc_0f782051d78bc07a							needs_human_review	human-v1-pending
ANN-9e2813991cf6	inc_77ceaec9d84d6e25	inc_77ceaec9d84d6e25							needs_human_review	human-v1-pending
ANN-9f55b439e3c6	inc_25067c4b053b5763	inc_25067c4b053b5763							needs_human_review	human-v1-pending
ANN-9f9bf1765ae8	inc_f9db5049cf8d0a46	inc_f9db5049cf8d0a46							needs_human_review	human-v1-pending
ANN-9fee02cfd6e0	inc_27b7f4b5f15eddcc	inc_27b7f4b5f15eddcc							needs_human_review	human-v1-pending
ANN-a10f107406ba	inc_fa20fe298b9410ea	inc_fa20fe298b9410ea							needs_human_review	human-v1-pending
ANN-a31526c5b6cd	inc_b65b223fe2861ce9	inc_b65b223fe2861ce9							needs_human_review	human-v1-pending
ANN-a365a370415a	inc_992fcfd045820f03	inc_992fcfd045820f03							needs_human_review	human-v1-pending
ANN-a51532916763	inc_b6c8b8329c2790cb	inc_b6c8b8329c2790cb							needs_human_review	human-v1-pending
ANN-a763871a70ad	inc_fb17a1c06d15f08d	inc_fb17a1c06d15f08d							needs_human_review	human-v1-pending
ANN-a804dd303983	inc_5aec36653e1ae8e1	inc_5aec36653e1ae8e1							needs_human_review	human-v1-pending
ANN-a96e6c8945fa	inc_4c41c0fdada72699	inc_4c41c0fdada72699							needs_human_review	human-v1-pending
ANN-b26d3bfb6f10	inc_44cd59b13484c8ff	inc_44cd59b13484c8ff							needs_human_review	human-v1-pending
ANN-b32ce4ff2b24	inc_1c35829e1a5668b7	inc_1c35829e1a5668b7							needs_human_review	human-v1-pending
ANN-b340319ecc8f	inc_e8eb4aabf3538114	inc_e8eb4aabf3538114							needs_human_review	human-v1-pending
ANN-bb5dfbebc4e9	inc_50a3a0186cfb926a	inc_50a3a0186cfb926a							needs_human_review	human-v1-pending
ANN-bc181d59f4fc	inc_90a870236431d8c2	inc_90a870236431d8c2							needs_human_review	human-v1-pending
ANN-c682e7da425e	inc_1fa5a9117fca9344	inc_1fa5a9117fca9344							needs_human_review	human-v1-pending
ANN-c9b6e50cda2b	inc_e8c939b906ef2c9e	inc_e8c939b906ef2c9e							needs_human_review	human-v1-pending
ANN-cb3611a46107	inc_c008d0981392ffbc	inc_c008d0981392ffbc							needs_human_review	human-v1-pending
ANN-cc3739adfa3e	inc_1340494405aa1c58	inc_1340494405aa1c58							needs_human_review	human-v1-pending
ANN-cd76c0606a81	inc_1bd0f85d1967890c	inc_1bd0f85d1967890c							needs_human_review	human-v1-pending
ANN-d0bb47f7ffb1	inc_b8f2fc204d33911b	inc_b8f2fc204d33911b							needs_human_review	human-v1-pending
ANN-d41d8564c1a2	inc_0991de462f9a6c05	inc_0991de462f9a6c05							needs_human_review	human-v1-pending
ANN-ddeb2d1de80c	inc_41d11c8c51f185b7	inc_41d11c8c51f185b7							needs_human_review	human-v1-pending
ANN-df1ba498317b	inc_ee53782e9c264b25	inc_ee53782e9c264b25							needs_human_review	human-v1-pending
ANN-e19ec54cf38c	inc_bb6f30a02ec2c05c	inc_bb6f30a02ec2c05c							needs_human_review	human-v1-pending
ANN-e9638d35314c	inc_ac67c10adc4fe094	inc_ac67c10adc4fe094							needs_human_review	human-v1-pending
ANN-ebb10be39fd4	inc_792aba678ac59ed6	inc_792aba678ac59ed6							needs_human_review	human-v1-pending
ANN-ec1a979a6b4e	inc_fea0b6870c17feac	inc_fea0b6870c17feac							needs_human_review	human-v1-pending
ANN-ec75065038c1	inc_42d05a5a96453d5d	inc_42d05a5a96453d5d							needs_human_review	human-v1-pending
ANN-ef648f4fff53	inc_15361b2d5df6a488	inc_15361b2d5df6a488							needs_human_review	human-v1-pending
ANN-f5e80c9421a5	inc_440b5aa2334e385c	inc_440b5aa2334e385c							needs_human_review	human-v1-pending
ANN-f6700af01236	inc_a2887d6c9ebacc44	inc_a2887d6c9ebacc44							needs_human_review	human-v1-pending
ANN-f6d7a122a2ea	inc_fdf63d2b6452d14b	inc_fdf63d2b6452d14b							needs_human_review	human-v1-pending
ANN-f9aafccb3646	inc_c3bf40c257e90fe0	inc_c3bf40c257e90fe0							needs_human_review	human-v1-pending
ANN-fff02a50bc7d	inc_cd11a2a781c49c77	inc_cd11a2a781c49c77							needs_human_review	human-v1-pending
