dataset_id	parent_id	family	name	resource_type	official_url	data_entry_url	paper_url	modalities	labels	dataset_license	code_license	license_status	license_evidence_urls	access_status	access_evidence_url	checked_date	verification_scope	file_assets_downloaded	priority	proposed_cs221_use	notes	lineage_notes	next_collection_action	maintainer_namespace	license_gate	independent_dataset_claim
D011		DejaVu datasets A/B/C/D	DejaVu datasets A/B/C/D	dataset_collection	https://github.com/NetManAIOps/DejaVu	https://zenodo.org/records/6955909	https://arxiv.org/abs/2207.09021	metrics; failure-dependency graph	faults.csv; recurring failure labels	not_established_in_checked_sources	MIT repository	repo_only_external_data_unclear	"[""https://github.com/NetManAIOps/DejaVu""]"	public_repository; external_download_not_tested	https://github.com/NetManAIOps/DejaVu	2026-09-12	primary_landing_and_license_statement_only; no_data_asset_download	False	P1	Đối chứng chẩn đoán lỗi lặp lại và service dependency.	README mô tả metrics.csv, faults.csv, graph.yml; ưu tiên định dạng đọc an toàn, không thực thi pickle không tin cậy.		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.	NetManAIOps	HOLD_FOR_CLARIFICATION	False
D012		TraceRCA artifacts	TraceRCA artifacts	dataset_artifact	https://github.com/NetManAIOps/TraceRCA	https://cloud.tsinghua.edu.cn/d/8371855eddd64a8db23b/		distributed_traces	root cause; inspect release	not_established_in_checked_sources	not_established_in_checked_sources	not_established	"[""https://github.com/NetManAIOps/TraceRCA""]"	public_repository; external_download_not_tested	https://github.com/NetManAIOps/TraceRCA	2026-09-12	primary_landing_and_license_statement_only; no_data_asset_download	False	P2	Đối chứng trace-based RCA, không thay corpus runbook.	Repo dẫn kho ngoài; quyền và truy cập binary chưa xác nhận.		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.	NetManAIOps	HOLD_FOR_CLARIFICATION	False
D013		MicroRank	MicroRank	method_only	https://github.com/IntelligentDDS/MicroRank	https://github.com/IntelligentDDS/MicroRank	https://doi.org/10.1145/3442381.3449905	trace-based analysis (method)	no standalone dataset confirmed	NOT_APPLICABLE: no dataset release confirmed	MIT	code_only	"[""https://github.com/IntelligentDDS/MicroRank""]"	public_method_repository; no_dataset_release_confirmed	https://github.com/IntelligentDDS/MicroRank	2026-09-12	primary_landing_and_license_statement_only; no_data_asset_download	False	P2	Baseline tham khảo, KHÔNG tính là dataset sẵn tải.	Không đồng nhất code nghiên cứu với dữ liệu thực nghiệm công khai.		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.	IntelligentDDS	REVIEW_STATED_TERMS_BEFORE_COLLECTION	False
D014		CIRCA	CIRCA	generation_platform	https://github.com/NetManAIOps/CIRCA	https://github.com/NetManAIOps/CIRCA		simulated metrics; causal structure	synthetic causal ground truth if generated	NOT_APPLICABLE: generator/platform	BSD-3-Clause	code_only	"[""https://github.com/NetManAIOps/CIRCA""]"	public_code_and_simulation_resources	https://github.com/NetManAIOps/CIRCA	2026-09-12	primary_landing_and_license_statement_only; no_data_asset_download	False	P2	Đối chứng nhân quả có kiểm soát, không giả thành log sản xuất.	Một nền tảng/phương pháp sinh dữ liệu; phải lưu seed và cấu hình khi tự tạo.		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.	NetManAIOps	REVIEW_STATED_TERMS_BEFORE_COLLECTION	False
D015		Post-mortems Analysis	Post-mortems Analysis	dataset_artifact	https://github.com/IntelligentDDS/Post-mortems-Analysis	https://github.com/IntelligentDDS/Post-mortems-Analysis		public_postmortem_text; structured_annotations	fault lifecycle annotations; inspect labels	not_established_in_checked_sources	not_established_in_checked_sources	not_established	"[""https://github.com/IntelligentDDS/Post-mortems-Analysis""]"	public_repository_with_documents_and_annotations	https://github.com/IntelligentDDS/Post-mortems-Analysis	2026-09-12	primary_landing_and_license_statement_only; no_data_asset_download	False	P1	Nguồn kế hoạch xây corpus postmortem và taxonomy sự cố.	Tác giả tổng hợp 354 postmortem 2011–2021. Quyền bài gốc vẫn cần kiểm tra; không đưa postmortem chính incident test vào kho truy hồi.		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.	IntelligentDDS	HOLD_FOR_CLARIFICATION	False
D016		Server Machine Dataset — OmniAnomaly	Server Machine Dataset — OmniAnomaly	dataset	https://github.com/NetManAIOps/OmniAnomaly	https://github.com/NetManAIOps/OmniAnomaly		multivariate_time_series	anomaly intervals/labels; not incident QA	not_established_in_checked_sources	MIT repository	repo_only_external_data_unclear	"[""https://github.com/NetManAIOps/OmniAnomaly""]"	public_landing_and_file_or_download_listing; assets_not_tested	https://github.com/NetManAIOps/OmniAnomaly	2026-09-12	primary_landing_and_license_statement_only; no_data_asset_download	False	P3	Module phát hiện bất thường bổ trợ, không phải trọng tâm NLP.	SMD trong repo phương pháp; không suy dữ liệu có gold nguyên nhân và qrels.		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.	NetManAIOps	HOLD_FOR_CLARIFICATION	False
D017		Telemanom — SMAP/MSL	Telemanom — SMAP/MSL	dataset_collection	https://github.com/khundman/telemanom	https://github.com/khundman/telemanom		spacecraft_time_series	anomaly intervals	not established separately from code	Apache-2.0 code	repo_only_external_data_unclear	"[""https://github.com/khundman/telemanom""]"	public_landing_and_file_or_download_listing; assets_not_tested	https://github.com/khundman/telemanom	2026-09-12	primary_landing_and_license_statement_only; no_data_asset_download	False	P3	Kiểm tra phần time-series nếu thật sự cần.	Khác miền cloud; chỉ dùng bổ trợ AD, không báo cáo như kết quả RCA microservices.		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.	khundman	HOLD_FOR_CLARIFICATION	False
D018		Numenta Anomaly Benchmark — NAB	Numenta Anomaly Benchmark — NAB	dataset_collection	https://github.com/numenta/NAB	https://github.com/numenta/NAB		time_series	anomaly windows	not_established_in_checked_sources	MIT indicated by repository badge; file text not reconciled	data_scope_unconfirmed	"[""https://github.com/numenta/NAB""]"	public_landing_and_file_or_download_listing; assets_not_tested	https://github.com/numenta/NAB	2026-09-12	primary_landing_and_license_statement_only; no_data_asset_download	False	P3	Benchmark AD phụ; bỏ nếu làm loãng đóng góp NLP.	Đã đọc repo và thử license file; chưa xác nhận riêng điều khoản mọi nguồn time-series.		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.	numenta	HOLD_FOR_CLARIFICATION	False
D019		MSQA	MSQA	sample_dataset	https://github.com/ModelInteraction/MSQA	https://github.com/ModelInteraction/MSQA	https://aclanthology.org/2023.emnlp-industry.29/	technical_questions; answers; documentation	QA pairs in published sample	not_established_in_checked_sources	not_established_in_checked_sources	not_established	"[""https://github.com/ModelInteraction/MSQA""]"	public_sample_only; full_release_not_confirmed	https://github.com/ModelInteraction/MSQA	2026-09-12	primary_landing_and_license_statement_only; no_data_asset_download	False	P1	Xây pilot hỏi đáp kỹ thuật Azure.	README cung cấp sample và lời hẹn phát hành; lời hẹn không chứng minh toàn bộ dữ liệu đã mở.		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.	ModelInteraction	HOLD_FOR_CLARIFICATION	False
D020		OWL / Owl instruction resources	OWL / Owl instruction resources	sample_dataset	https://github.com/HC-Guo/Owl	https://github.com/HC-Guo/Owl	https://arxiv.org/abs/2309.09298	IT_operations_instructions; bilingual_QA	task-specific examples; full coverage unconfirmed	not_established_in_checked_sources	Apache-2.0 repository	repo_only_external_data_unclear	"[""https://github.com/HC-Guo/Owl""]"	public_repository_and_examples; full_dataset_not_confirmed	https://github.com/HC-Guo/Owl	2026-09-12	primary_landing_and_license_statement_only; no_data_asset_download	False	P2	Tham khảo schema instruction và cách đặt câu hỏi vận hành.	Không suy từ example validation rằng toàn bộ tập huấn luyện đã công khai.		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.	HC-Guo	HOLD_FOR_CLARIFICATION	False
D021		NetEval exam	NetEval exam	dataset	https://huggingface.co/datasets/NASP/neteval-exam	https://huggingface.co/datasets/NASP/neteval-exam	https://arxiv.org/abs/2309.05557	network_operations_QA; Chinese/English	multiple-choice/QA reference answers	CC-BY-NC-SA-4.0	NOT_APPLICABLE	explicit_dataset_card	"[""https://huggingface.co/datasets/NASP/neteval-exam""]"	public_landing_and_file_or_download_listing; assets_not_tested	https://huggingface.co/datasets/NASP/neteval-exam	2026-09-12	primary_landing_and_license_statement_only; no_data_asset_download	False	P2	Kiểm thử tri thức vận hành mạng, không dùng làm RCA telemetry.	Giữ điều kiện phi thương mại và chia sẻ tương tự; xác định bản release trước tái sử dụng.		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.	NASP	REVIEW_STATED_TERMS_BEFORE_COLLECTION	False
D022		RAGBench	RAGBench	dataset_collection	https://huggingface.co/datasets/galileo-ai/ragbench	https://huggingface.co/datasets/galileo-ai/ragbench	https://arxiv.org/abs/2407.11005	questions; retrieved_contexts; responses	RAG evaluation annotations	CC-BY-4.0	NOT_APPLICABLE	explicit_dataset_card	"[""https://huggingface.co/datasets/galileo-ai/ragbench""]"	public_landing_and_file_or_download_listing; assets_not_tested	https://huggingface.co/datasets/galileo-ai/ragbench	2026-09-12	primary_landing_and_license_statement_only; no_data_asset_download	False	P1	Đối chiếu đánh giá groundedness/relevance ở cấp thành phần.	Đường rungalileo/ragbench chuyển sang galileo-ai/ragbench; không phải hai dataset. Kiểm tra nguồn corpus gốc.	Alias cũ: https://huggingface.co/datasets/rungalileo/ragbench	Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.	galileo-ai	REVIEW_STATED_TERMS_BEFORE_COLLECTION	False
D023		RGB	RGB	dataset	https://github.com/chen700564/RGB	https://github.com/chen700564/RGB		English/Chinese questions; contexts	RAG robustness references	CC-BY-NC-SA-4.0	CC-BY-NC-SA-4.0	explicit_data_and_code	"[""https://github.com/chen700564/RGB""]"	public_landing_and_file_or_download_listing; assets_not_tested	https://github.com/chen700564/RGB	2026-09-12	primary_landing_and_license_statement_only; no_data_asset_download	False	P1	Thiết kế kiểm thử context nhiễu, không đủ hoặc mâu thuẫn.	Các bản tinh chỉnh trong repo là phiên bản liên quan, không tự cộng thành nguồn độc lập.		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.	chen700564	REVIEW_STATED_TERMS_BEFORE_COLLECTION	False
D024		MultiHop-RAG	MultiHop-RAG	dataset	https://github.com/yixuantt/MultiHop-RAG	https://github.com/yixuantt/MultiHop-RAG	https://arxiv.org/abs/2401.15391	multi-document_questions; article_corpus	evidence/retrieval links; answers	ODC-BY	see repository terms	explicit_dataset_license	"[""https://github.com/yixuantt/MultiHop-RAG""]"	public_landing_and_file_or_download_listing; assets_not_tested	https://github.com/yixuantt/MultiHop-RAG	2026-09-12	primary_landing_and_license_statement_only; no_data_asset_download	False	P1	Thiết kế qrels nhiều bằng chứng; không thay nhãn nhân quả.	Giữ provenance và attribution của tài liệu nguồn; ODC-BY không được hiểu là xóa mọi quyền bài báo gốc.		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.	yixuantt	REVIEW_STATED_TERMS_BEFORE_COLLECTION	False
D025		CRUD-RAG	CRUD-RAG	dataset	https://github.com/IAAR-Shanghai/CRUD_RAG	https://github.com/IAAR-Shanghai/CRUD_RAG		Chinese_RAG_tasks; text_corpus	task-specific references	not_established_in_checked_sources	not_established_in_checked_sources	not_established	"[""https://github.com/IAAR-Shanghai/CRUD_RAG""]"	public_landing_and_file_or_download_listing; assets_not_tested	https://github.com/IAAR-Shanghai/CRUD_RAG	2026-09-12	primary_landing_and_license_statement_only; no_data_asset_download	False	P2	Kiểm thử nhiều thao tác trên kho tri thức.	Chưa thiết lập được giấy phép từ trang đã kiểm tra; không gán Apache theo suy đoán.		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.	IAAR-Shanghai	HOLD_FOR_CLARIFICATION	False
D026		FeB4RAG	FeB4RAG	dataset_artifact	https://github.com/ielab/FeB4RAG	https://github.com/ielab/FeB4RAG		federated_retrieval; heterogeneous_corpora	retrieval/evaluation resources	heterogeneous upstream terms; standalone blanket grant not established	Apache-2.0 repository	repo_only_upstream_terms	"[""https://github.com/ielab/FeB4RAG""]"	public_landing_and_file_or_download_listing; assets_not_tested	https://github.com/ielab/FeB4RAG	2026-09-12	primary_landing_and_license_statement_only; no_data_asset_download	False	P2	Tham khảo retrieval từ nhiều kho incident/runbook.	Cần kiểm tra từng corpus thành phần, không coi license code là quyền toàn bộ corpus.		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.	ielab	REVIEW_UPSTREAM_AND_RELEASE	False
D027		MTRAG	MTRAG	dataset_collection	https://github.com/IBM/mt-rag-benchmark	https://github.com/IBM/mt-rag-benchmark	https://arxiv.org/abs/2501.03468	multi-turn_questions; domain_corpora; answers	human/synthetic QA and evaluation annotations	repository Apache-2.0; source corpora may have separate terms	Apache-2.0	repo_assets_with_upstream_caveat	"[""https://github.com/IBM/mt-rag-benchmark""]"	public_landing_and_file_or_download_listing; assets_not_tested	https://github.com/IBM/mt-rag-benchmark	2026-09-12	primary_landing_and_license_statement_only; no_data_asset_download	False	P0	Ưu tiên Cloud corpus làm đối chứng NLP hỏi đáp tài liệu kỹ thuật.	Repo có corpora, mtrag-human, mtrag-synthetic, mtragun-human. MTRAG và MTRAG-UN cần lưu quan hệ phiên bản.		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.	IBM	REVIEW_UPSTREAM_AND_RELEASE	False
D028		CRAG — Comprehensive RAG Benchmark	CRAG — Comprehensive RAG Benchmark	dataset	https://github.com/facebookresearch/CRAG	https://github.com/facebookresearch/CRAG		questions; retrieved_resources; mock_APIs	QA benchmark references	CC-BY-NC-4.0	see repository distribution terms	explicit_dataset_license	"[""https://github.com/facebookresearch/CRAG""]"	public_landing_and_file_or_download_listing; assets_not_tested	https://github.com/facebookresearch/CRAG	2026-09-12	primary_landing_and_license_statement_only; no_data_asset_download	False	P2	Đánh giá RAG tổng quát, không phải benchmark causal RCA.	Không nhầm với bài phương pháp Corrective RAG cùng tên viết tắt.		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.	facebookresearch	REVIEW_STATED_TERMS_BEFORE_COLLECTION	False
D029		FreshQA / FreshLLMs	FreshQA / FreshLLMs	dataset	https://github.com/freshllms/freshqa	https://github.com/freshllms/freshqa		time-sensitive_factual_QA	dated reference answers	repository Apache-2.0; verify external release scope	Apache-2.0	repo_assets_with_upstream_caveat	"[""https://github.com/freshllms/freshqa""]"	public_repository; external_download_not_tested	https://github.com/freshllms/freshqa	2026-09-12	primary_landing_and_license_statement_only; no_data_asset_download	False	P2	Thiết kế kiểm thử tri thức lỗi thời và versioned KB.	Phải đóng băng phiên bản và thời điểm nhãn, không trộn câu hỏi đổi theo thời gian.		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.	freshllms	REVIEW_UPSTREAM_AND_RELEASE	False
D030		NoMIRACL	NoMIRACL	dataset	https://huggingface.co/datasets/miracl/nomiracl	https://huggingface.co/datasets/miracl/nomiracl		multilingual_queries; passages	relevant and non-relevant context regimes	Apache-2.0 dataset card; Wikipedia upstream terms apply	Apache-2.0 repository	explicit_card_with_upstream_caveat	"[""https://huggingface.co/datasets/miracl/nomiracl"", ""https://github.com/project-miracl/nomiracl""]"	public_files; viewer_disabled_custom_loader	https://huggingface.co/datasets/miracl/nomiracl	2026-09-12	primary_landing_and_license_statement_only; no_data_asset_download	False	P1	Đánh giá abstention khi không truy hồi được bằng chứng.	Viewer tắt do loader tùy biến không đồng nghĩa file bị khóa. Không thực thi remote loader chưa kiểm tra.		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.	miracl	REVIEW_UPSTREAM_AND_RELEASE	False
D031		RAGEval / DragonBall resources	RAGEval / DragonBall resources	generation_platform	https://github.com/OpenBMB/RAGEval	https://github.com/OpenBMB/RAGEval	https://arxiv.org/abs/2408.01262	synthetic_RAG_evaluation; example_resources	generated/reference annotations; inspect provenance	not_established_in_checked_sources	LICENSE file exists; text not established in this audit	not_established	"[""https://github.com/OpenBMB/RAGEval""]"	public_code_and_example_assets	https://github.com/OpenBMB/RAGEval	2026-09-12	primary_landing_and_license_statement_only; no_data_asset_download	False	P2	Tham khảo tạo câu hỏi để hỗ trợ annotation; không dùng synthetic làm test gold mặc định.	Repo có dragonball_dataset và code; đây là bộ công cụ/tài nguyên sinh đánh giá, không phải log incident thật.		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.	OpenBMB	HOLD_FOR_CLARIFICATION	False
