dataset_id	name	priority	resource_type	parent_id	family	official_url	original_license_status	original_license_gate	original_access_status	current_collection_decision	local_card_exists	parent_id_resolves	live_verification_scope	asset_download_scope	review_evidence_path	next_action
D015	Post-mortems Analysis	P1	dataset_artifact		Post-mortems Analysis	https://github.com/IntelligentDDS/Post-mortems-Analysis	not_established	HOLD_FOR_CLARIFICATION	public_repository_with_documents_and_annotations	hold_existing_license_or_release_uncertainty	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D016	Server Machine Dataset — OmniAnomaly	P3	dataset		Server Machine Dataset — OmniAnomaly	https://github.com/NetManAIOps/OmniAnomaly	repo_only_external_data_unclear	HOLD_FOR_CLARIFICATION	public_landing_and_file_or_download_listing; assets_not_tested	hold_existing_license_or_release_uncertainty	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D017	Telemanom — SMAP/MSL	P3	dataset_collection		Telemanom — SMAP/MSL	https://github.com/khundman/telemanom	repo_only_external_data_unclear	HOLD_FOR_CLARIFICATION	public_landing_and_file_or_download_listing; assets_not_tested	hold_existing_license_or_release_uncertainty	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D018	Numenta Anomaly Benchmark — NAB	P3	dataset_collection		Numenta Anomaly Benchmark — NAB	https://github.com/numenta/NAB	data_scope_unconfirmed	HOLD_FOR_CLARIFICATION	public_landing_and_file_or_download_listing; assets_not_tested	hold_existing_license_or_release_uncertainty	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D019	MSQA	P1	sample_dataset		MSQA	https://github.com/ModelInteraction/MSQA	not_established	HOLD_FOR_CLARIFICATION	public_sample_only; full_release_not_confirmed	hold_existing_license_or_release_uncertainty	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D020	OWL / Owl instruction resources	P2	sample_dataset		OWL / Owl instruction resources	https://github.com/HC-Guo/Owl	repo_only_external_data_unclear	HOLD_FOR_CLARIFICATION	public_repository_and_examples; full_dataset_not_confirmed	hold_existing_license_or_release_uncertainty	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D021	NetEval exam	P2	dataset		NetEval exam	https://huggingface.co/datasets/NASP/neteval-exam	explicit_dataset_card	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_not_required_by_selected_MVP	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D022	RAGBench	P1	dataset_collection		RAGBench	https://huggingface.co/datasets/galileo-ai/ragbench	explicit_dataset_card	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_not_required_by_selected_MVP	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D023	RGB	P1	dataset		RGB	https://github.com/chen700564/RGB	explicit_data_and_code	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_not_required_by_selected_MVP	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D024	MultiHop-RAG	P1	dataset		MultiHop-RAG	https://github.com/yixuantt/MultiHop-RAG	explicit_dataset_license	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_not_required_by_selected_MVP	True	True	primary repository documentation; per-file access state recorded; no raw data downloaded	none_by_dataset_agent	02_datasets/acquired/meta/catalog-review/primary-review.json	Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D025	CRUD-RAG	P2	dataset		CRUD-RAG	https://github.com/IAAR-Shanghai/CRUD_RAG	not_established	HOLD_FOR_CLARIFICATION	public_landing_and_file_or_download_listing; assets_not_tested	hold_existing_license_or_release_uncertainty	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D026	FeB4RAG	P2	dataset_artifact		FeB4RAG	https://github.com/ielab/FeB4RAG	repo_only_upstream_terms	REVIEW_UPSTREAM_AND_RELEASE	public_landing_and_file_or_download_listing; assets_not_tested	defer_not_required_by_selected_MVP	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D027	MTRAG	P0	dataset_collection		MTRAG	https://github.com/IBM/mt-rag-benchmark	repo_assets_with_upstream_caveat	REVIEW_UPSTREAM_AND_RELEASE	public_landing_and_file_or_download_listing; assets_not_tested	alternative_track_primary_metadata_see_research_artifacts	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D028	CRAG — Comprehensive RAG Benchmark	P2	dataset		CRAG — Comprehensive RAG Benchmark	https://github.com/facebookresearch/CRAG	explicit_dataset_license	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_not_required_by_selected_MVP	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D029	FreshQA / FreshLLMs	P2	dataset		FreshQA / FreshLLMs	https://github.com/freshllms/freshqa	repo_assets_with_upstream_caveat	REVIEW_UPSTREAM_AND_RELEASE	public_repository; external_download_not_tested	defer_not_required_by_selected_MVP	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D030	NoMIRACL	P1	dataset		NoMIRACL	https://huggingface.co/datasets/miracl/nomiracl	explicit_card_with_upstream_caveat	REVIEW_UPSTREAM_AND_RELEASE	public_files; viewer_disabled_custom_loader	defer_not_required_by_selected_MVP	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D031	RAGEval / DragonBall resources	P2	generation_platform		RAGEval / DragonBall resources	https://github.com/OpenBMB/RAGEval	not_established	HOLD_FOR_CLARIFICATION	public_code_and_example_assets	method_or_platform_reference_no_dataset_download	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D032	TechQA	P0	dataset		TechQA	https://huggingface.co/datasets/PrimeQA/TechQA	explicit_dataset_card	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_file_listing; viewer_error; binary_not_downloaded	alternative_track_primary_metadata_see_research_artifacts	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D033	BRIGHT	P1	dataset_collection		BRIGHT	https://huggingface.co/datasets/xlangai/BRIGHT	explicit_dataset_card	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_not_required_by_selected_MVP	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D034	BEIR	P2	dataset_collection		BEIR	https://github.com/beir-cellar/beir	heterogeneous_explicit_disclaimer	REVIEW_UPSTREAM_AND_RELEASE	public_landing_and_file_or_download_listing; assets_not_tested	defer_not_required_by_selected_MVP	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D035	MS MARCO	P2	dataset_collection		MS MARCO	https://microsoft.github.io/msmarco/	custom_research_terms	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_not_required_by_selected_MVP	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D036	MIRACL	P2	dataset_collection		MIRACL	https://huggingface.co/datasets/miracl/miracl	explicit_card_with_upstream_caveat	REVIEW_UPSTREAM_AND_RELEASE	public_files; viewer_disabled_custom_loader	defer_not_required_by_selected_MVP	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D037	mMARCO	P2	derived_dataset		MS MARCO	https://github.com/unicamp-dl/mMARCO	upstream_restrictions_apply	REVIEW_UPSTREAM_AND_RELEASE	public_landing_and_file_or_download_listing; assets_not_tested	defer_not_required_by_selected_MVP	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D038	FRAMES	P2	dataset		FRAMES	https://huggingface.co/datasets/google/frames-benchmark	explicit_dataset_card	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_not_required_by_selected_MVP	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D039	EnterpriseRAG-Bench	P2	dataset_artifact		EnterpriseRAG-Bench	https://github.com/onyx-dot-app/EnterpriseRAG-Bench	repo_assets_with_upstream_caveat	REVIEW_UPSTREAM_AND_RELEASE	public_landing_and_file_or_download_listing; assets_not_tested	defer_not_required_by_selected_MVP	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D040	MuSiQue	P2	dataset		MuSiQue	https://github.com/stonybrooknlp/musique	explicit_dataset_license	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_repository; external_download_not_tested	defer_not_required_by_selected_MVP	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D041	HotpotQA	P2	dataset		HotpotQA	https://hotpotqa.github.io/	explicit_dataset_license	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_not_required_by_selected_MVP	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D042	ALCE evaluation artifacts	P1	dataset_artifact		ALCE evaluation artifacts	https://github.com/princeton-nlp/ALCE	repo_only_upstream_terms	REVIEW_UPSTREAM_AND_RELEASE	public_landing_and_file_or_download_listing; assets_not_tested	defer_not_required_by_selected_MVP	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D043	RAGTruth	P1	dataset		RAGTruth	https://github.com/ParticleMedia/RAGTruth	repo_assets_with_upstream_caveat	REVIEW_UPSTREAM_AND_RELEASE	public_landing_and_file_or_download_listing; assets_not_tested	defer_not_required_by_selected_MVP	True	True	primary repository documentation; per-file access state recorded; no raw data downloaded	none_by_dataset_agent	02_datasets/acquired/meta/catalog-review/primary-review.json	Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D044	CDQA	P3	dataset		CDQA	https://github.com/Alibaba-NLP/CDQA	not_established	HOLD_FOR_CLARIFICATION	public_landing_and_file_or_download_listing; assets_not_tested	hold_existing_license_or_release_uncertainty	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D045	KILT	P2	dataset_collection		KILT	https://github.com/facebookresearch/KILT	repo_only_upstream_terms	REVIEW_UPSTREAM_AND_RELEASE	public_landing_and_file_or_download_listing; assets_not_tested	defer_not_required_by_selected_MVP	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D046	SWE-bench	P3	dataset_collection		SWE-bench	https://github.com/swe-bench/SWE-bench	repo_assets_with_upstream_caveat	REVIEW_UPSTREAM_AND_RELEASE	public_landing_and_file_or_download_listing; assets_not_tested	defer_not_required_by_selected_MVP	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D047	Google cluster traces	P3	dataset_collection		Google cluster traces	https://github.com/google/cluster-data	explicit_data_terms	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_not_required_by_selected_MVP	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D048	Alibaba cluster traces	P3	dataset_collection		Alibaba cluster traces	https://github.com/alibaba/clusterdata	not_established	HOLD_FOR_CLARIFICATION	public_landing_and_file_or_download_listing; assets_not_tested	hold_existing_license_or_release_uncertainty	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D049	Azure public traces	P3	dataset_collection		Azure public traces	https://github.com/Azure/AzurePublicDataset	explicit_separate_data_code	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_not_required_by_selected_MVP	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D050	Yahoo Webscope S5	P3	dataset_release_access_unconfirmed		Yahoo Webscope S5	https://webscope.sandbox.yahoo.com/catalog.php?datatype=s&did=70	not_established	HOLD_FOR_CLARIFICATION	landing_blocked_in_audit; access_requirements_unconfirmed	hold_existing_license_or_release_uncertainty	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D051	ITBench-Lite	P0	dataset_collection		ITBench	https://huggingface.co/datasets/ibm-research/ITBench-Lite	explicit_dataset_card	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	alternative_track_primary_metadata_see_research_artifacts	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D052	ITBench framework	P2	generation_platform		ITBench	https://github.com/itbench-hub/ITBench	code_only	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_platform_repository	method_or_platform_reference_no_dataset_download	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D053	AIOpsLab	P2	generation_platform		AIOpsLab	https://github.com/microsoft/AIOpsLab	code_only	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_platform_repository	method_or_platform_reference_no_dataset_download	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D054	OpenTelemetry Demo	P2	generation_platform		OpenTelemetry Demo	https://github.com/open-telemetry/opentelemetry-demo	code_only	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_demo_repository	method_or_platform_reference_no_dataset_download	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D055	DeathStarBench	P3	generation_platform		DeathStarBench	https://github.com/delimitrou/DeathStarBench	conflict	HOLD_FOR_CLARIFICATION	public_repository; code_license_conflict	method_or_platform_reference_no_dataset_download	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D056	Train Ticket application	P2	generation_platform		Train Ticket application	https://github.com/FudanSELab/train-ticket	code_only	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_application_repository	method_or_platform_reference_no_dataset_download	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D057	Online Boutique application	P2	generation_platform		Online Boutique application	https://github.com/GoogleCloudPlatform/microservices-demo	code_only	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_application_repository	method_or_platform_reference_no_dataset_download	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D058	Kubernetes troubleshooting documentation	P0	corpus_to_collect		Kubernetes troubleshooting documentation	https://kubernetes.io/docs/tasks/debug/	explicit_documentation_license	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_documentation_pages	selected_KB_see_knowledge_corpus_artifacts	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D059	Prometheus Operator runbooks	P0	corpus_to_collect		Prometheus Operator runbooks	https://github.com/prometheus-operator/runbooks	repo_assets_license	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_repository_and_runbook_site	selected_KB_see_knowledge_corpus_artifacts	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D060	Google SRE workbook	P3	corpus_access_unconfirmed		Google SRE workbook	https://sre.google/workbook/	not_established	HOLD_FOR_CLARIFICATION	landing_blocked_in_audit	hold_existing_license_or_release_uncertainty	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D061	Google Cloud incident history	P1	corpus_to_collect		Google Cloud incident history	https://status.cloud.google.com/summary	publisher_terms_review_required	HOLD_FOR_CLARIFICATION	public_history_landing	hold_existing_license_or_release_uncertainty	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
